,pr_auc,roc_auc,positive_ratio,actor
0,0.5030223290424211,0.7518287091962947,0.08132677559963637,6
1,0.295873943331739,0.628809042777085,0.16658222447401402,7
2,0.18953048410654436,0.5898545290862751,0.10849909584086799,9
3,0.38662864516065804,0.5295788774429211,0.20444256654795678,10
4,0.3168974554770603,0.5732702603800197,0.20174667975815203,11
5,0.24477476195015274,0.5564008673586448,0.11244368091796052,12
6,0.22830996455522498,0.6629947767119311,0.113110400520297,13
7,0.24738231810280756,0.6626613338250376,0.13504377831506303,14
8,0.7902117224446757,0.7403150335881399,0.38184334876616866,16
9,0.6311175200446231,0.6982440394075466,0.2566462979128641,17
10,0.18251445889437384,0.4993207664696254,0.1865124057199413,18
