,pr_auc,roc_auc,positive_ratio,actor
0,0.1994204045804008,0.6253128911138923,0.06464924346629987,6
1,0.23517751982141574,0.5776114243165621,0.1584553928095872,7
2,0.13997249094662834,0.4971471162742881,0.1147011308562197,8
3,0.19347180250639423,0.5628972363065058,0.13814432989690723,9
4,0.32210308364546014,0.4535927152317881,0.2010652463382157,10
5,0.25234581919939336,0.5675714490880368,0.19001919385796545,11
6,0.14494238360887957,0.5729441150636803,0.10679611650485436,12
7,0.20101197180207636,0.6572021647268145,0.11081081081081082,13
8,0.30696857304046954,0.5681933956610332,0.1487603305785124,14
9,0.08858448993310684,0.41848575367647056,0.10526315789473684,15
10,0.7807031380618074,0.7346603536573582,0.3761904761904762,16
11,0.6043134700843003,0.6885245901639345,0.24110671936758893,17
12,0.3500662600004254,0.5725566380576819,0.1839863713798978,18
13,0.24004552393717304,0.4963418203102137,0.20238095238095238,19
