,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,Type,Visible
1634,0.07578087906590136,0.4778381727138219,-0.30593710120162154,0.5270095149123915,-0.3242409038853612,0.35117862286895685,-0.5305287631873563,0.2663970431206122,-0.2572729402333953,0.3708543144344705,-0.2235760532828941,0.18582231430661666,-0.6693827019207412,0.30743285956537325,-0.046486047222348725,-0.6106837720318532,0.18030429688001548,-0.05845883890752879,,
1635,0.10683666782439749,0.4656707559544073,-0.2841871148357541,0.5201801556705612,-0.3320848324841438,0.33723309817543634,-0.558274306055512,0.26527226055803554,-0.27048233406105326,0.3753370708612387,-0.23312328401352234,0.19862280275527944,-0.690631827583154,0.2955793306993362,-0.04401436923755331,-0.6036829572426523,0.17495669704544414,-0.05654795351868902,,
1636,0.1273114731364342,0.45994181585635685,-0.27389807122470866,0.5127616385984617,-0.33174467417746545,0.33043176848074163,-0.5710048589411729,0.26665469146446363,-0.2770000775438124,0.3787669104695519,-0.24371841663552662,0.21277958988322054,-0.7117652169958856,0.2799204285837884,-0.041599976794187477,-0.5945614109451927,0.16813787863632657,-0.05535278344099692,,
1637,0.13038543450567763,0.45940237783820703,-0.2729277572760821,0.5049080366626497,-0.3223615420631476,0.3306517116490437,-0.5702664982731442,0.2695080836251933,-0.2776780405717951,0.3806423964608543,-0.2559590880808832,0.22906852517288168,-0.7319223400306623,0.26003893932576694,-0.039549034726114374,-0.5825341248634712,0.15983112798826848,-0.05537381645478656,,
1638,0.11091388055306006,0.46280990367294716,-0.2790527550037266,0.49680978064684145,-0.3035712576089692,0.337018520550862,-0.5583779610356063,0.27320263176035,-0.2726071756640229,0.3801241049565227,-0.27013396092035824,0.24783824770603768,-0.7501018416773402,0.23568353040705858,-0.0380612535960958,-0.5666419933442628,0.15012523788818433,-0.05702423786771427,,
1639,0.06770096647537915,0.4695869343663768,-0.2912031849333745,0.48865654014892557,-0.2754793331461104,0.34813470931760904,-0.5379246388168444,0.2773821231682636,-0.2607284730057928,0.37579545932738134,-0.28604717435628735,0.2687851687331435,-0.7652695127645756,0.20676618444019645,-0.03710314339529586,-0.545834456382341,0.13922002925911725,-0.06053203420792863,,
1640,0.005448081745703659,0.48015533898319385,-0.3100623716119181,0.4805768660224288,-0.2385769438203682,0.3623866789222274,-0.5112449913468378,0.2817632575265665,-0.23985071041124273,0.36538747387288084,-0.3029542870790619,0.2908890843123084,-0.7764617805676046,0.17333073478547245,-0.0363343094107752,-0.5190602420204902,0.12743498539765352,-0.06587356911066855,,
1641,-0.06547146175680418,0.49569510868814315,-0.33757712374338744,0.47256672846003056,-0.19361492825959303,0.37825111796575017,-0.48010048989929066,0.28600746722890213,-0.20729381461708152,0.34556436791672174,-0.3195822241751092,0.3124688180651052,-0.7828685411176921,0.13549504536386192,-0.03509837793459736,-0.48535698405960515,0.1152324470956545,-0.07273716218041415,,
1642,-0.1322276272558799,0.5173981740834781,-0.375521151084368,0.4644281295953796,-0.14149980065777235,0.39454562122388825,-0.4456815306369327,0.28973273783374154,-0.16130056071490173,0.31189339104662395,-0.33420707817651363,0.33131320807553877,-0.7838873685681103,0.09341501549851983,-0.032470206513452005,-0.4439352074449404,0.10325564151066313,-0.08053979167830894,,
1643,-0.18384449321058716,0.5456704617414938,-0.42398796560562824,0.4557253577058469,-0.08322279423095158,0.4105837256210607,-0.40896161417988,0.2926217304050227,-0.10272188832570417,0.2591760013397444,-0.344756316693166,0.3448246121077907,-0.7791521879166425,0.047276885665732404,-0.02737621078676844,-0.3942546270154925,0.09236887042127506,-0.08848266704388619,,
1644,-0.21401578637954266,0.579699803851383,-0.48068316093730135,0.4457866439110909,-0.019871992428414642,0.4262140486949215,-0.3711668304381728,0.2945361510402187,-0.03584787785938526,0.18236479112238468,-0.34889513792901705,0.3501066139144886,-0.7685394476055648,-0.0026437613078115207,-0.018723830898391358,-0.3361107792687038,0.08367765595549637,-0.09565525983092349,,
1645,-0.22171075373048343,0.6175475418461016,-0.5413901361595376,0.43375977351408235,0.047307547488242285,0.4417152280732026,-0.33402978958508633,0.29557260650245776,0.03252927375151371,0.07827600693193504,-0.3441197184226358,0.34401125972024027,-0.7521692146603529,-0.05588111079281888,-0.005522228269815188,-0.2697352609140753,0.07850608954651017,-0.10113082864506773,,
1646,-0.2101973928570504,0.6566135959205757,-0.6012358341362322,0.41874408457867074,0.11683470471819923,0.4575686624571387,-0.2996538536366935,0.2960047695992347,0.09535305017709117,-0.051956844363014176,-0.32809420227307984,0.32345240657521446,-0.7303730174349314,-0.11164536981680073,0.012993100666483848,-0.1958777500287513,0.07829366980314223,-0.10405521661014216,,
1647,-0.18516919324796866,0.6942286525503396,-0.6560172335436021,0.3999647794840182,0.18695437331089093,0.4741416091950452,-0.27010324720772827,0.2961036013880223,0.1474051842978612,-0.2006948208279663,-0.2994778085986336,0.28635708855656494,-0.7036209691086508,-0.1687219199509118,0.037196328964065994,-0.11582240171574454,0.08436725395464917,-0.10376745611265781,,
1648,-0.15270022575323317,0.728150328753252,-0.7029736952135105,0.37694790811358714,0.25566536822578345,0.49140715231920873,-0.2469866586184215,0.2959408856894352,0.1861539620632402,-0.3539693408809176,-0.25890770326476953,0.23298134562297368,-0.6724051354140255,-0.2254401682282926,0.06689213087938972,-0.031300576051271345,0.09760193162273123,-0.09992720412065614,,
1649,-0.11780119576280279,0.7567421027432686,-0.7407446054282026,0.3496345457292236,0.32081182435636046,0.5087988563202346,-0.23121665121709967,0.29530858795293224,0.21139585235127756,-0.49524952164075375,-0.20929495910417617,0.16660060499134777,-0.6371080433233884,-0.27974370841449414,0.10116310131539352,0.05572089094478305,0.1180423683499563,-0.09258469757516152,,
1650,-0.08387881575316292,0.7788986951278256,-0.7688860368303368,0.3184171955639523,0.3802376628930313,0.5252690811354577,-0.2229775226092534,0.2938094929607249,0.22439545445271936,-0.610778595505925,-0.15489668008447588,0.09265989289420151,-0.5979078768822165,-0.3293273680008564,0.13836707379187252,0.14330443968277384,0.14463948695252293,-0.08215879244931301,,
