,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles
0,-0.059471004700963004,0.49599983431393335,-0.3699935283317275,-0.5485873644764604,-0.5326437429563466,0.9498313895533357,-0.396453149648463,0.6080140204001478,-0.6749197434373363,-0.23211553577845967,0.45098253404243516,-0.04360768060813036,-0.3101003368448294,0.25662162341316197,-0.5680437771593514,0.3236642873201929,0.39701025241576016,0.5233516539712186,-0.7347167496801346,0.14869689823450338,0.1128323499712034,-1.014731802407264,0.14807939476059628,-0.6097848802911809
1,-0.18269246487284074,0.5093575725869885,-0.41921216528204475,-0.4945076860515025,-0.5677664415736934,0.9512286900988669,-0.3118977779576406,0.6812951549167696,-0.6126783235019213,-0.24569618035798202,0.4329888542115241,-0.04337836713962184,-0.4612282050143902,0.2537878448488957,-0.5623898173236355,0.2937840748364031,0.41109647732163945,0.5370994440440924,-0.7437634559595687,0.15421207063550568,0.09804514891064464,-0.9989508831111416,0.14917615849796007,-0.5977751102386065
2,-0.30088186162650754,0.5179909265710076,-0.450377247359523,-0.4395061668141427,-0.5959105095866629,0.9510665235996205,-0.22611734001151107,0.7456117466293108,-0.5544720046948866,-0.258475542601006,0.416030039929121,-0.04367216198723434,-0.5586488880898509,0.2511073473259815,-0.5570301550944222,0.26324633111732854,0.4216698807943,0.548079379546557,-0.7542317301037187,0.15785332125114726,0.08375598693396191,-0.982485303753822,0.15515508525588606,-0.5848437827979334
3,-0.4067039064216189,0.5220218222738313,-0.46474122416331864,-0.3835360833872805,-0.6165962263342365,0.9492534640144454,-0.13960078499012873,0.799816495287631,-0.49998043227018474,-0.2706109958849796,0.40009454708276104,-0.04453986613398764,-0.6066796277989832,0.24852908784208827,-0.5518642795629467,0.23203199079366676,0.42888054825938204,0.5563205765486725,-0.766045316227668,0.15959297230602942,0.06990942039818804,-0.9650798832143269,0.1659919340471181,-0.5708865313074638
4,-0.4920022903680279,0.521910623523411,-0.46434663418713285,-0.32664263677636185,-0.6294557375913166,0.9457109343674337,-0.05330478284089113,0.8432255478130843,-0.4491028805366357,-0.2822345357225924,0.38516672698665855,-0.04601067554713456,-0.6101964198298104,0.2458423265035583,-0.5464701073738623,0.2001805286378897,0.43296568992338313,0.5619159540483132,-0.7790610470151607,0.1594530213734644,0.05650595193049046,-0.9464773372305706,0.18161144506238447,-0.5558219183226083
5,-0.5493102470998474,0.5184013299853991,-0.4518452616844516,-0.2689891727024971,-0.634308279050853,0.9404104125577162,0.031334369523695615,0.8757300491041768,-0.4020240774178946,-0.2934484214918329,0.3712219522008888,-0.048087509823400265,-0.5763997582000839,0.24268879940979882,-0.540124751162629,0.16781445084804703,0.4342497682888877,0.5650780724134505,-0.7930470792860168,0.15752298117295704,0.04357002983182445,-0.9264245001918021,0.20186239400328043,-0.5395941345513684
6,-0.5740415537305856,0.5124011029108142,-0.4302595938846371,-0.21086441426705815,-0.6312528949643121,0.9333814090757961,0.11251655040996678,0.8978478310941944,-0.35918161295492357,-0.304322904605679,0.35823482567802944,-0.050743258421764414,-0.5156980376397204,0.23871942553553716,-0.5321163323980596,0.13514397427678482,0.43313091778257906,0.5661956246511186,-0.8076767643775027,0.1539706587443963,0.031105456025638745,-0.9046916039320851,0.2264781300099883,-0.5221890985912214
7,-0.5655902708313854,0.504880158369791,-0.4028442073115308,-0.1526598530535238,-0.6207172764175752,0.9247082900368666,0.18831303528694887,0.9106795968612933,-0.3210876056459594,-0.31490548321463074,0.34618572242689005,-0.05392962287068592,-0.44037184606318147,0.23383133843306592,-0.5222219937751944,0.10245821554266166,0.4300291416930746,0.5658765229684883,-0.8225420111415891,0.1490243321627891,0.019064932006658708,-0.8810906363995451,0.2550643142316811,-0.5036339406110277
8,-0.5270878151334921,0.4968337605785418,-0.37309938373720664,-0.09483253777474221,-0.6034808982504385,0.9145161573288967,0.256950536128731,0.9157620261460198,-0.28808114393247897,-0.3252246714639926,0.33506143085209517,-0.05758287254450445,-0.3619945806725934,0.22829562550118143,-0.5109743754438993,0.07009597073829221,0.4253447422059662,0.5649402824615675,-0.837180976389952,0.14293445871082233,0.007347352386906758,-0.855490063644117,0.2870739741594006,-0.4840052165025025
9,-0.46493282626678345,0.4892605170818416,-0.3447439328109946,-0.037859166651965315,-0.5806464683258992,0.9029612471133286,0.3170247179026202,0.9148476689668439,-0.26018774071248174,-0.3352978981960347,0.32486720993821105,-0.06162909993754562,-0.28927162258764216,0.22268905442209785,-0.4995378111784683,0.03840743535464686,0.41941971516795573,0.5643516504024328,-0.8511153569793444,0.1359409889485459,-0.004192065233686093,-0.8278384901549993,0.3218146913606532,-0.46342848543813997
