,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles,True,Visible,
0,0.22102605838050415,0.4779866844413032,-0.2968679670599357,0.27490351521883594,0.2490529534562682,0.2797408117622884,-0.1458432501956075,0.15893848753966378,-0.012633391503310998,-0.23057563739136444,-0.2180037216054065,0.2204484884288458,0.3213785348513085,-0.36016319489787285,0.12010488841649503,-0.7859125787109165,0.5045775098456102,0.1950456482529792,-0.8958824479742189,-0.16814159058234124,-0.015349305776511057,0.2148718365526363,0.07813547896459871,0.4219214392920696,,,
1,0.216563815124736,0.4245498760544071,-0.24945040811503572,0.27244815361840424,0.2688889867807267,0.2367886524503997,-0.2587248577477703,0.10513108246599767,-0.03346047046981504,-0.2272801555159536,-0.20988224608457073,0.2209242158609679,0.3420246564625873,-0.3618886024381365,0.1215839238761296,-0.7989197900250733,0.5203936063608676,0.19472926124130563,-0.8929698932421897,-0.17119394624668893,-0.007003039889110663,0.22156157789037856,0.07200518697229508,0.4284612181276841,,,
2,0.22325740744178568,0.37071367041923287,-0.20113506880692256,0.2733778749428999,0.2862030958793944,0.19087037997121592,-0.36232658791906136,0.0630801513719188,-0.049984322292101036,-0.22412496618050326,-0.2032486783925268,0.22243489862367682,0.3629804507365044,-0.3632059497572254,0.12271281076856488,-0.8121993922029955,0.5336163618872025,0.1957624084290892,-0.8893061601767078,-0.1737782004200391,-0.0006647824248137146,0.2289962255189446,0.0660322499931969,0.4352075242002986,,,
3,0.2406919115273849,0.31742772839282196,-0.15296665091166894,0.27709214835028195,0.30086965183837067,0.14361575837601093,-0.45589283444072237,0.0334029409790122,-0.0644215216628028,-0.22107361575159867,-0.1980930136318051,0.22500297590323348,0.38410598268757545,-0.3641339674882428,0.12350797125419244,-0.8257446650753469,0.5443977426998965,0.19810419566486526,-0.8848435191949435,-0.17592819653900793,0.003682169303801164,0.23708402990754296,0.060259089755002604,0.44213341509308557,,,
4,0.26724547139594335,0.2667580142696553,-0.10702297124106963,0.28282826564167474,0.31315225027627536,0.09746268379061118,-0.538295549673969,0.015443453818330122,-0.0781486049106832,-0.21810209560704352,-0.19442256307363326,0.22863645573636937,0.4052328540854635,-0.36467971002547406,0.12397552135154122,-0.839538882887335,0.5527938555001239,0.20165898383958014,-0.8794829748127968,-0.17767466053395065,0.006151202830631197,0.24572364594408147,0.054753919268362816,0.44920152815135217,,,
5,0.2998218372052779,0.22171360242272398,-0.06620677979966916,0.2897015497832993,0.323886014313433,0.05552889452961285,-0.6081278965950501,0.007233494235493465,-0.09159004207425459,-0.21520795858991826,-0.19225855505815526,0.233318654713226,0.4261730958935648,-0.3647849988873112,0.12406572611844413,-0.8535527257890405,0.5587386792775828,0.20626025862730035,-0.8730689504511207,-0.17904916376064883,0.007006390736895796,0.25479834929712375,0.049637097853723056,0.4563565704011925,,,
6,0.33393465775950304,0.18540233665984163,-0.03340816048283013,0.2968242789980682,0.3344685335615265,0.021095500006724555,-0.6640407007506988,0.005701071995968254,-0.10446015499096228,-0.21241179683710876,-0.19162548875737928,0.23900611255112114,0.4467342742525542,-0.3642747310339872,0.12362854790885525,-0.8677497555289508,0.562054617195773,0.21168145652770542,-0.8654177290088745,-0.18008354177033037,0.006658314979279378,0.2641768689092432,0.04509381537884183,0.46352513079745417,,,
7,0.36431188476245424,0.15990098541158781,-0.010465796506026304,0.30344610316288834,0.34658809080066955,-0.0030792396558582125,-0.7051360554412993,0.007285803732968388,-0.11619110524996412,-0.209762648830787,-0.19255485394475091,0.24562241923290173,0.4667031194637361,-0.36287029843371765,0.12242522776963893,-0.8820928867281358,0.562486001218663,0.21767759344756987,-0.8563565666883003,-0.18080548224572257,0.005568232643278659,0.2737198716821032,0.04136951183968707,0.47061812100017764,,,
8,0.38573855570069915,0.1455418219008089,0.002409787489319859,0.30902684899425403,0.3618073114033329,-0.015286186983056727,-0.7312518828290206,0.008791440086669988,-0.126257643657825,-0.20734142118059695,-0.19506358198521845,0.2530562964148104,0.48581576050423037,-0.3603359059303819,0.12025297414173397,-0.8965317927851214,0.559751309597351,0.22399891421866092,-0.845739081338196,-0.18122806286139626,0.004069939719794968,0.2832869291313742,0.0387586024826414,0.4775349997953504,,,
9,0.3937492148217321,0.14098084949981082,0.006492337617480803,0.3132364304969728,0.38118724537991056,-0.015099381342218332,-0.7430856893227364,0.008113919773362399,-0.1342641385188259,-0.20525687782880742,-0.19914128317756374,0.26116017933664604,0.5037365915327539,-0.3566595934876913,0.117100387807626,-0.9109630328711608,0.5535944598713078,0.23038268874242163,-0.8334267993013262,-0.18133117834392043,0.002172457722095844,0.2927437907497281,0.03758763595579895,0.4841704382921024,,,
