,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles,Type,Visible,
0,-0.028908597161523164,0.5688880585514879,-0.38570424839571704,0.20632076173746317,0.3255201589814103,0.4927116677878418,-0.20903371525129466,0.30339091343165414,-0.14426477751747824,-0.149862838867459,-0.2106048433909069,0.10218096377889907,-0.6430456832847491,0.5017136704877028,-0.6401234238564801,-0.2372295844304526,-0.2360444941442137,0.9642781943440664,0.3138086548243295,0.64490858652636,0.261640983750141,-0.05149554145039181,-0.2695536354607502,0.590833682865036,,,
1,-0.03083454581394196,0.5644726335791705,-0.37829693322910796,0.18307616147778227,0.3401581927034134,0.49880729610872065,-0.22558607314356938,0.30326623711405265,-0.16707162956760535,-0.15016834575107618,-0.2091234130918871,0.10452640095389065,-0.7414053929923936,0.5007457183982298,-0.6391814529005413,-0.190092446880608,-0.2283017056245884,0.946188715133506,0.38402785127247663,0.6607536555534965,0.28707318705215923,-0.05104117534040764,-0.272371791165238,0.5908190382064122,,,
2,-0.032291086148842685,0.5606359655992015,-0.37184024432365614,0.16010321500714575,0.3519491600956295,0.5056718562652731,-0.24133767463649125,0.30355720200798286,-0.18790978622158938,-0.15040168798994202,-0.20737550619680523,0.10654217395007337,-0.7908088424474564,0.5017564428208712,-0.6401649607312572,-0.14393623315941106,-0.2157076001818622,0.9254265634829122,0.44954138664918486,0.6684451775691937,0.3078772928304849,-0.0506918677010324,-0.2740905053488861,0.5906218985710945,,,
3,-0.033147792220145966,0.5573388143039368,-0.36627670017633474,0.13739708655676885,0.36081339265198786,0.5132575525587659,-0.25632676267580723,0.3042607700976405,-0.2069374466939754,-0.1505675607353414,-0.20535842907942048,0.10823253703696145,-0.7992479527020492,0.5047981435753304,-0.6431221467797601,-0.09880659997288521,-0.19872743307187823,0.9025130432595165,0.5094042709382307,0.669003105511788,0.3239167701477199,-0.05044854961036027,-0.27470611367641184,0.5902433904712838,,,
4,-0.03308209239749005,0.5545284087383724,-0.3615238960897308,0.11496323875435244,0.3667528849345145,0.5214799835743762,-0.2705983979465526,0.30531161334599477,-0.22438020659331126,-0.15066926923817903,-0.20307468296409947,0.10960349624210375,-0.7747716829185592,0.5094518950515334,-0.6476382669129384,-0.05477530379583273,-0.17787603109611905,0.8781043758450298,0.5627463554809313,0.6637282320785793,0.33514514532265993,-0.050308427834108604,-0.27422361937483575,0.5896863301874855,,,
5,-0.03162606378773325,0.5521146685461966,-0.3574342380337763,0.09281544010824239,0.3698909863576516,0.5302074110937347,-0.28419581246899717,0.306559628098942,-0.24051584214098598,-0.15070766099868682,-0.2005345292841445,0.11066614603305625,-0.72652525506509,0.5150523948918568,-0.6530599741982094,-0.011952617629159445,-0.15372777066844945,0.8529834309976558,0.608819741075479,0.654132547806298,0.34177929553425823,-0.050270845140681475,-0.27266211926842066,0.5889537217522371,,,
6,-0.028362209746299993,0.5499464895793849,-0.353754731044011,0.0709758321708831,0.37048322881068474,0.5392619426325242,-0.29715585781352283,0.3077692611592633,-0.25564986654808264,-0.15068122746645196,-0.19775502767242004,0.11143416680590379,-0.6646209345045109,0.5210257235244229,-0.6588266249285273,0.0295188167105922,-0.1269001761686659,0.8280123751566892,0.6470524442883034,0.6418248972821317,0.3444241325789217,-0.05033597679183788,-0.27006516257264424,0.588050822222481,,,
7,-0.023147730528836896,0.5478204973402552,-0.35014137686560376,0.04946554904288947,0.3688816524912193,0.5484376754501912,-0.3095167968026671,0.30864919462414964,-0.27007575299083664,-0.15058285811452832,-0.19476010009531153,0.11192816257182114,-0.5988750060600665,0.5271413968600733,-0.664713513980568,0.06947973121015161,-0.09800863609646293,0.8040392737050726,0.6770908332753596,0.6283464910591241,0.34406877517131074,-0.050505400143407986,-0.26650279446579883,0.5869851416795622,,,
8,-0.016248602386236932,0.5455123348156115,-0.34621247432238356,0.028292874217086705,0.3654838021047986,0.5575251062439432,-0.32133748461436995,0.3089010183215031,-0.28404563647965464,-0.15040312026533398,-0.1915767469491947,0.11217007201477291,-0.5371017280463828,0.533560774032467,-0.6708739322017224,0.10777862338525868,-0.06762872232098627,0.7817870233897355,0.6988146303452043,0.6149896147412182,0.3419440670301528,-0.050779816242427334,-0.2620694420494045,0.5857671942373643,,,
9,-0.00831959896214185,0.5428290472504795,-0.34163731389409,0.007447263030986528,0.3606571329641153,0.5663431302631527,-0.3327161523494009,0.30827820368714987,-0.29773945458684914,-0.15012596226447583,-0.1882336361133573,0.11218984185545544,-0.4838429041707284,0.5407103620984104,-0.6777122655320195,0.1443007276773587,-0.03624593314083213,0.7617538180133334,0.7123209663776702,0.602639640106623,0.3392875664576218,-0.05115926890433575,-0.25689413220621105,0.5844108735463769,,,
