,pr_auc,roc_auc,positive_ratio,actor
0,0.26924994927528556,0.6526595744680852,0.06464924346629987,6
1,0.3921391179265968,0.6438610254228274,0.1584553928095872,7
2,0.10528097762434731,0.4886141667523388,0.1147011308562197,8
3,0.17891789091838073,0.5907305577376276,0.13814432989690723,9
4,0.5116091208140477,0.7066777041942605,0.2010652463382157,10
5,0.29532069262854793,0.6209607927617407,0.19001919385796545,11
6,0.31676705013385936,0.6378321256038647,0.10679611650485436,12
7,0.1408383414458749,0.6140188301579065,0.11081081081081082,13
8,0.3553580026887333,0.6014323384873546,0.1487603305785124,14
9,0.16155290632812114,0.557272518382353,0.10526315789473684,15
10,0.8397345277749961,0.8217098270364287,0.3761904761904762,16
11,0.6695532713594003,0.7293374316939891,0.24110671936758893,17
12,0.4537852584273974,0.6048770586870795,0.1839863713798978,18
13,0.19214789310072486,0.48487952394888306,0.20238095238095238,19
