sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
161.43426513671875,298.3205261230469,145.2667236328125,179.49795532226562,-122.14777374267578,887.9791259765625,165.2427978515625,105.12911224365234,479.789794921875,231.4718780517578,-349.916015625,938.7113037109376,-90.19070434570312,-227.29107666015625,124.57598114013672,-122.76325225830078,-124.88449096679688,913.1161499023438,-119.6491470336914,-189.8891143798828,483.7666931152344,-232.22409057617188,-56.14984893798828,794.6634521484375
162.70225524902344,300.7598876953125,150.99697875976562,176.98556518554688,-124.39203643798828,889.1236572265625,162.40408325195312,94.81459045410156,476.3414916992188,229.92233276367188,-347.3275451660156,931.0286865234376,-90.6587371826172,-219.08677673339844,125.08493041992188,-124.7612533569336,-127.48363494873048,915.7573852539062,-122.50941467285156,-192.76168823242188,484.9931335449219,-233.28619384765625,-62.26457595825195,797.3134765625
163.80899047851562,301.4276123046875,157.43035888671875,174.63394165039062,-126.36189270019533,890.3575439453125,160.08517456054688,84.00931549072266,473.2694396972656,228.6555328369141,-344.0694580078125,923.3585815429688,-90.98568725585938,-210.74041748046875,125.56749725341795,-126.65930938720705,-129.931884765625,918.2853393554688,-124.98625183105467,-194.3444366455078,485.6953125,-234.2620086669922,-68.4296646118164,800.1290283203125
164.7504119873047,300.3306579589844,164.5607452392578,172.4431610107422,-128.05821228027344,891.6802368164062,158.2769012451172,72.7273941040039,470.5779724121094,227.6708984375,-340.1415100097656,915.7037353515624,-91.17463684082033,-202.2534027099609,126.022705078125,-128.45726013183594,-132.22877502441406,920.7001953125,-127.08245086669922,-194.6501922607422,485.89166259765625,-235.1515350341797,-74.64448547363281,803.1096801757812
165.51617431640625,297.4911499023437,172.36688232421875,170.4132080078125,-129.48345947265625,893.0906372070312,156.9541778564453,61.004241943359375,468.2780151367188,226.9667205810547,-335.5433044433594,908.0714721679688,-91.23410034179688,-193.629638671875,126.44841766357422,-130.15487670898438,-134.37303161621094,923.0028076171876,-128.80641174316406,-193.7135772705078,485.6313781738281,-235.95480346679688,-80.9073257446289,806.2539672851562
166.08851623535156,292.9580383300781,180.79693603515625,168.54331970214844,-130.64276123046875,894.5872192382812,156.07020568847656,48.900691986083984,466.3899536132813,226.5394592285156,-330.2745056152344,900.4766845703125,-91.18047332763672,-184.87559509277344,126.84133911132812,-131.7519989013672,-136.3619384765625,925.195068359375,-130.17552185058594,-191.60122680664065,485.0054016113281,-236.67193603515625,-87.21475982666016,809.559326171875
166.4451141357422,286.81768798828125,189.7518310546875,166.83128356933594,-131.5450439453125,896.1681518554688,155.5574951171875,36.499420166015625,464.94476318359375,226.38311767578125,-324.3352966308594,892.9442138671875,-91.03882598876952,-175.99874877929688,127.19774627685548,-133.2491455078125,-138.19081115722656,927.2805786132812,-131.21853637695312,-188.41717529296875,484.1463928222656,-237.30311584472656,-93.5611343383789,813.0216674804688
166.56524658203125,279.19903564453125,199.0754852294922,165.27261352539062,-132.20387268066406,897.8321533203125,155.33511352539062,23.896596908569336,463.9819030761719,226.4886779785156,-317.7275390625,885.5101928710938,-90.84156036376952,-167.00674438476562,127.51466369628906,-134.6481170654297,-139.8526153564453,929.2650146484376,-131.9771270751953,-184.3001708984375,483.215576171875,-237.84869384765625,-99.93833923339844,816.6353149414062
166.43438720703125,270.27130126953125,208.55780029296875,163.85984802246094,-132.6376495361328,899.57861328125,155.32017517089844,11.192253112792969,463.5442199707031,226.84393310546875,-310.4560241699219,878.2222290039062,-90.62535095214844,-157.90806579589844,127.79085540771484,-135.95277404785156,-141.337890625,931.1566772460938,-132.50689697265625,-179.4121551513672,482.378173828125,-238.3091735839844,-106.33576202392578,820.3934936523438
166.046142578125,260.23394775390625,217.9497833251953,162.58236694335938,-132.86956787109375,901.4083251953124,155.43930053710938,-1.5180963277816772,463.6706237792969,227.43338012695312,-302.5300598144531,871.1383666992188,-90.42667388916016,-148.7118377685547,128.02731323242188,-137.1697235107422,-142.6351318359375,932.96630859375,-132.87759399414062,-173.92047119140625,481.7743835449219,-238.68511962890625,-112.7402572631836,824.2882690429688
