sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
115.41940307617188,179.0897979736328,151.30638122558594,146.27182006835938,-131.230712890625,961.7964477539062,125.17113494873048,7.047808647155762,477.8425903320313,206.0271148681641,-303.8941345214844,882.0844116210938,-129.46109008789062,-364.5268249511719,158.7782745361328,-159.2444610595703,-105.3514404296875,974.3038330078124,-137.41741943359375,-230.97821044921875,506.7551574707031,-209.3688201904297,-97.27579498291016,836.4427490234375
114.890380859375,186.2806854248047,153.92906188964844,144.83319091796875,-134.4519500732422,961.4221801757812,122.4299774169922,6.309125900268555,477.5062255859375,205.3001251220703,-300.72265625,877.6114501953125,-127.99713134765624,-361.5984802246094,157.91409301757812,-160.6579132080078,-109.4299774169922,974.6767578125,-136.63983154296875,-233.1756591796875,506.3234558105469,-212.61102294921875,-98.98591613769533,835.0336303710938
114.4214096069336,192.7983856201172,156.87704467773438,143.38186645507812,-137.52151489257812,961.0957641601562,120.03093719482422,4.77616024017334,477.0736999511719,204.6427764892578,-297.3421325683594,873.3606567382812,-126.8258819580078,-358.30401611328125,157.03970336914062,-162.05580139160156,-113.29466247558594,975.1702880859376,-136.1540985107422,-235.32882690429688,506.0885009765625,-215.80630493164065,-100.88702392578124,833.789794921875
114.0127182006836,198.63937377929688,160.15081787109375,141.91810607910156,-140.4386749267578,960.8173828125,117.97555541992188,2.449688196182251,476.5447998046875,204.0550079345703,-293.7528076171875,869.3320922851562,-125.9455795288086,-354.64111328125,156.15623474121094,-163.43804931640625,-116.9452896118164,975.7838134765624,-135.96189880371094,-237.43528747558597,506.0473327636719,-218.95433044433597,-102.97908782958984,832.7115478515625
113.66471099853516,203.7940368652344,163.75152587890625,140.44261169433594,-143.2012939453125,960.5870971679688,116.26719665527344,-0.6675382852554321,475.9188232421875,203.53659057617188,-289.95538330078125,865.5263671875,-125.3504409790039,-350.6043395996094,155.2663116455078,-164.80435180664062,-120.38136291503906,976.5162963867188,-136.06689453125,-239.4876251220703,506.19140625,-222.05419921875,-105.26202392578124,831.7991333007812
113.37763214111328,208.24371337890625,167.6808624267578,138.95675659179688,-145.8052215576172,960.4051513671876,114.91053771972656,-4.568741798400879,475.1946105957031,203.0870513916016,-285.95135498046875,861.9444580078125,-125.02776336669922,-346.18560791015625,154.37454223632812,-166.15415954589844,-123.60212707519533,977.365234375,-136.47412109375,-241.46946716308597,506.5024719238281,-225.10406494140625,-107.73555755615234,831.053466796875
113.15081024169922,211.9584197998047,171.9402313232422,137.46270751953125,-148.24363708496094,960.2717895507812,113.90956115722656,-9.24068832397461,474.3712768554688,202.70562744140625,-281.74334716796875,858.5879516601562,-124.95591735839844,-341.3760681152344,153.48776245117188,-167.48655700683594,-126.6067123413086,978.3263549804688,-137.18728637695312,-243.3513946533203,506.9501953125,-228.10076904296875,-110.39913940429688,830.4758911132812
112.98184204101562,214.8958282470703,176.529296875,135.9635467529297,-150.50698852539062,960.1873168945312,113.26465606689452,-14.6614408493042,473.4493713378906,202.3912048339844,-277.3354797363281,855.4591064453125,-125.1041030883789,-336.1683349609375,152.6149139404297,-168.8002471923828,-129.39434814453125,979.3934936523438,-138.20423889160156,-245.08786010742188,507.4920654296875,-231.0395965576172,-113.25170135498048,830.068115234375
112.8658218383789,217.00259399414065,181.44381713867188,134.4633026123047,-152.5832061767578,960.15234375,112.96941375732422,-20.79891014099121,472.4328918457031,202.14231872558597,-272.7335510253906,852.5606079101562,-125.43376159667967,-330.5585327148437,151.76637268066406,-170.09359741210938,-131.96461486816406,980.5582885742188,-139.5114288330078,-246.6161193847656,508.076904296875,-233.91407775878903,-116.2914581298828,829.83251953125
112.7949447631836,218.21800231933597,186.673095703125,132.967041015625,-154.45838928222656,960.1680908203124,113.00797271728516,-27.6104679107666,471.3317260742188,201.95718383789065,-267.9451904296875,849.8956298828125,-125.90128326416016,-324.54742431640625,150.953125,-171.36474609375,-134.31764221191406,981.8104248046876,-141.07891845703125,-247.8580474853516,508.6507263183594,-236.7159576416016,-119.51570892333984,829.771728515625
112.7582778930664,218.48020935058597,192.19723510742188,131.48080444335938,-156.11788940429688,960.2367553710938,113.35342407226562,-35.04361724853516,470.1637268066406,201.833740234375,-262.9799194335937,847.467529296875,-126.46114349365234,-318.1410522460937,150.1858673095703,-172.61170959472656,-136.45413208007812,983.1375732421876,-142.8578643798828,-248.7250061035156,509.1636962890625,-239.43521118164065,-122.92060089111328,829.8886108398438
112.74172973632812,217.73341369628903,197.9845733642578,130.0115966796875,-157.5475616455078,960.36181640625,113.96794891357422,-43.03745269775391,468.9560241699219,201.76968383789065,-257.84912109375,845.2794799804688,-127.0687484741211,-311.3508605957031,149.47427368164062,-173.83248901367188,-138.37542724609375,984.5262451171876,-144.7812042236328,-249.12521362304688,509.575927734375,-242.0601959228516,-126.5009765625,830.1859130859375
112.72791290283205,215.9353179931641,203.98974609375,128.5672149658203,-158.7350616455078,960.54833984375,114.8044204711914,-51.52452850341797,467.7456359863281,201.76255798339844,-252.56578063964844,843.334228515625,-127.68293762207033,-304.1935119628906,148.8265380859375,-175.02529907226562,-140.08319091796875,985.9619140625,-146.76812744140625,-248.9720458984375,509.86224365234375,-244.5779266357422,-130.25022888183594,830.6661376953125
112.69629669189452,213.0635681152344,210.1535186767578,127.15596771240234,-159.671142578125,960.80322265625,115.80941009521484,-60.43282699584961,466.5787048339844,201.80979919433597,-247.1444091796875,841.6337280273438,-128.26815795898438,-296.6903686523437,148.24888610839844,-176.1884765625,-141.5792236328125,987.4296875,-148.73110961914062,-248.1920166015625,510.01416015625,-246.9743804931641,-134.1602325439453,831.3313598632812
112.62401580810548,209.12063598632807,216.4040679931641,125.78632354736328,-160.35072326660156,961.1347045898438,116.92652130126952,-69.68766784667969,465.50921630859375,201.90875244140625,-241.60064697265625,840.1788940429688,-128.79637145996094,-288.8667297363281,147.7450408935547,-177.3206024169922,-142.8651123046875,988.9151000976562,-150.58509826660156,-246.73118591308597,510.0396118164063,-249.23489379882807,-138.22132873535156,832.1826171875
112.48764038085938,204.13671875,222.65956115722656,124.4664077758789,-160.7738037109375,961.5524291992188,118.099609375,-79.21366119384766,464.5964965820313,202.05674743652344,-235.9509735107422,838.9690551757812,-129.24842834472656,-280.7513122558594,147.31597900390625,-178.4205322265625,-143.94210815429688,990.4043579101562,-152.25697326660156,-244.5599365234375,509.9599609375,-251.34458923339844,-142.42234802246094,833.22021484375
112.2654800415039,198.17010498046875,228.83172607421875,123.20348358154295,-160.9459686279297,962.066650390625,119.27532958984376,-88.936767578125,463.9022521972656,202.2510528564453,-230.2123565673828,838.0020751953125,-129.61465454101562,-272.3755798339844,146.95965576171875,-179.4873809814453,-144.81100463867188,991.8848266601562,-153.69395446777344,-241.6756134033203,509.8050537109375,-253.2888336181641,-146.750732421875,834.4429931640625
111.93993377685548,191.30421447753903,234.8294677734375,122.00354766845705,-160.87844848632812,962.6876831054688,120.4052505493164,-98.78622436523438,463.4869384765625,202.48895263671875,-224.4018402099609,837.2737426757812,-129.89447021484375,-263.7735290527344,146.67129516601562,-180.52053833007807,-145.47230529785156,993.3453369140624,-154.86929321289062,-238.1028594970703,509.6074523925781,-255.0536651611328,-151.1925811767578,835.848388671875
111.49916076660156,183.6412353515625,240.5614776611328,120.8711166381836,-160.5877227783203,963.42529296875,121.4473876953125,-108.69613647460938,463.4062805175781,202.76773071289065,-218.5362701416016,836.7779541015625,-130.09494018554688,-254.98068237304688,146.44381713867188,-181.5195770263672,-145.9263153076172,994.7760620117188,-155.78378295898438,-233.89080810546875,509.3968200683594,-256.62615966796875,-155.7329559326172,837.4324340820312
110.93807220458984,175.29293823242188,245.9371490478516,119.80912017822266,-160.09457397460938,964.2877197265624,122.36740112304688,-118.60645294189452,463.7074890136719,203.0846099853516,-212.6319122314453,836.5061645507812,-130.2288055419922,-246.03260803222656,146.26861572265625,-182.4842834472656,-146.1735382080078,996.1685791015624,-156.46322631835938,-229.10763549804688,509.1960754394531,-257.994873046875,-160.35597229003906,839.1891479492188
110.25819396972656,166.370361328125,250.86607360839844,118.8188934326172,-159.4230499267578,965.2811279296876,123.13912200927734,-128.46327209472656,464.4262390136719,203.4366455078125,-206.70428466796875,836.447509765625,-130.31222534179688,-236.9633026123047,146.1365203857422,-183.41441345214844,-146.21502685546875,997.5155639648438,-156.95225524902344,-223.83316040039065,509.01959228515625,-259.1500244140625,-165.04505920410156,841.1109619140625
109.46690368652344,156.9745635986328,255.25755310058597,117.90020751953124,-158.59913635253906,966.408447265625,123.7446746826172,-138.2185516357422,465.583984375,203.8207092285156,-200.76800537109372,836.5888671875,-130.3625030517578,-227.8041076660156,146.0385284423828,-184.30967712402344,-146.05288696289062,998.8103637695312,-157.306396484375,-218.151123046875,508.8730163574219,-260.0838317871094,-169.78326416015625,843.1883544921875
108.5765151977539,147.1888885498047,259.021728515625,117.05137634277344,-157.64944458007812,967.6688842773438,124.17393493652344,-147.82937622070312,467.18646240234375,204.23333740234372,-194.83673095703125,836.9144287109375,-130.3961944580078,-218.5826110839844,145.96652221679688,-185.1696014404297,-145.69065856933594,1000.0471801757812,-157.58375549316406,-212.1422119140625,508.7549133300781,-260.7905578613281,-174.5533905029297,845.4097900390625
