sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
170.71240234375,226.98834228515625,203.4984436035156,184.25738525390625,-153.4312744140625,868.124267578125,181.1334381103516,-4.528040885925293,440.3863525390625,248.5430603027344,-342.6778259277344,888.2128295898438,-121.77286529541016,-281.70721435546875,118.95992279052734,-76.11485290527344,-232.3663024902344,899.4763793945312,-119.3393783569336,-283.8594665527344,459.3485412597656,-287.9468078613281,-76.20506286621094,784.4071655273438
170.13497924804688,221.8685760498047,212.4785919189453,182.7110595703125,-153.734130859375,869.426513671875,181.4073944091797,-15.58920192718506,439.3283996582031,247.85012817382807,-336.3603210449219,884.4769287109375,-121.95267486572266,-270.82720947265625,118.88426971435548,-77.47576904296875,-232.72792053222656,901.8190307617188,-120.04834747314452,-277.6330871582031,458.8461608886719,-288.5296936035156,-83.96273040771484,784.3834838867188
169.4238739013672,215.9714508056641,220.9781646728516,181.2601318359375,-153.88548278808594,870.8114013671875,181.6522674560547,-26.51717185974121,438.7269287109375,247.19956970214844,-329.5761413574219,880.7499389648438,-122.12566375732422,-259.8758239746094,118.81619262695312,-78.79371643066406,-232.89463806152344,904.017333984375,-120.81421661376952,-271.1330261230469,458.4058227539063,-288.9452819824219,-92.11058807373048,784.5482788085938
168.57901000976562,209.3084716796875,228.9854278564453,179.90408325195312,-153.88650512695312,872.2784423828125,181.86827087402344,-37.309669494628906,438.5807495117188,246.5914764404297,-322.3258972167969,877.0322875976562,-122.29235076904295,-248.8555603027344,118.7552490234375,-80.06907653808594,-232.8667449951172,906.0716552734376,-121.63743591308594,-264.3640441894531,458.026611328125,-289.1935729980469,-100.64793395996094,784.9019775390625
167.60086059570312,201.9049072265625,236.47080993652344,178.6415252685547,-153.74046325683594,873.8261108398438,182.0567779541016,-47.9625358581543,438.8859252929688,246.02618408203125,-314.6112670898437,873.3250732421875,-122.45411682128906,-237.77197265625,118.70068359375,-81.30305480957031,-232.6452789306641,907.9827270507812,-122.51853942871094,-257.3369445800781,457.705810546875,-289.2742614746094,-109.5726547241211,785.4454956054688
166.49183654785156,193.7959442138672,243.38194274902344,177.469482421875,-153.45367431640625,875.4518432617188,182.22216796875,-58.471717834472656,439.633056640625,245.50428771972656,-306.4356689453125,869.630615234375,-122.61314392089844,-226.6338653564453,118.65188598632812,-82.49832153320312,-232.23245239257807,909.7520141601562,-123.45728302001952,-250.06808471679688,457.43841552734375,-289.1865539550781,-118.88031768798828,786.1806640625
165.25802612304688,185.01596069335935,249.6419677734375,176.38275146484375,-153.0365447998047,877.151123046875,182.3741912841797,-68.83671569824219,440.8052062988281,245.02688598632807,-297.8050842285156,865.9525146484375,-122.77173614501952,-215.4525604248047,118.60887145996094,-83.6595687866211,-231.63206481933597,911.3818359375,-124.451171875,-242.5768585205078,457.2171630859375,-288.9288635253906,-128.5633087158203,787.1099853515625
163.91140747070312,175.58892822265625,255.15187072753903,175.3734893798828,-152.503662109375,878.9174194335938,182.530029296875,-79.06343078613281,442.3761901855469,244.5954132080078,-288.7283630371094,862.296142578125,-122.93128204345705,-204.24058532714844,118.57244873046876,-84.7938003540039,-230.84954833984372,912.875244140625,-125.4937744140625,-234.88221740722656,457.0332946777344,-288.4984130859375,-138.61016845703125,788.2369995117188
162.47218322753906,165.52755737304688,259.79888916015625,174.43128967285156,-151.8734588623047,880.7410278320312,182.71456909179688,-89.16443634033203,444.3104248046875,244.2117462158203,-279.2178039550781,858.6685180664062,-123.09152221679688,-193.01007080078125,118.54410552978516,-85.91020202636719,-229.89175415039065,914.235595703125,-126.5735321044922,-227.0000762939453,456.8780517578125,-287.8912353515625,-149.00511169433594,789.5664672851562
160.97012329101562,154.84072875976562,263.4710998535156,173.54379272460938,-151.16725158691406,882.6090087890625,182.9575958251953,-99.15576934814452,446.5626220703125,243.87786865234372,-269.289306640625,855.0780029296875,-123.2503433227539,-181.77171325683597,118.52559661865234,-87.0195541381836,-228.7666473388672,915.4666137695312,-127.67346954345705,-218.9419708251953,456.7441711425781,-287.101806640625,-159.72781372070312,791.1038208007812
