sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
169.8275146484375,72.51593780517578,252.72560119628903,165.76953125,-136.2000732421875,940.5388793945312,173.97323608398438,-153.29946899414062,495.8642578125,200.2534637451172,-266.41925048828125,890.9603271484375,-104.76961517333984,-62.54547119140625,128.10720825195312,-145.02236938476562,-154.076904296875,967.284912109375,-138.6073760986328,-89.04324340820312,474.8777770996094,-219.35890197753903,-269.8972473144531,885.3471069335938
167.8040008544922,57.09152221679688,245.6364288330078,164.2051239013672,-135.3192596435547,941.9407348632812,173.1246795654297,-160.6560516357422,499.0509338378906,202.8758087158203,-256.3527526855469,886.2991333007812,-104.41624450683594,-53.80595397949219,128.17971801757812,-146.8128204345703,-152.02630615234375,966.8704833984376,-138.8427734375,-82.69747924804688,474.5793151855469,-218.486572265625,-275.9376220703125,889.4004516601562
166.01710510253906,41.15217208862305,238.6385803222656,162.7207794189453,-134.51329040527344,943.1949462890624,172.31854248046875,-167.6175994873047,502.0066223144531,205.4774169921875,-246.1806640625,881.7365112304688,-104.08973693847656,-45.05486297607422,128.26248168945312,-148.50546264648438,-149.98114013671875,966.4216918945312,-139.061767578125,-76.33427429199219,474.3093872070313,-217.56466674804688,-281.7823791503906,893.4136352539062
164.4669952392578,24.69925308227539,231.73635864257807,161.3164520263672,-133.78245544433594,944.3017578125,171.55471801757812,-174.18385314941406,504.7306518554688,208.05799865722656,-235.90359497070312,877.2727661132812,-103.78995513916016,-36.2920150756836,128.35556030273438,-150.10018920898438,-147.9420166015625,965.9384155273438,-139.2642059326172,-69.95386505126953,474.0680847167969,-216.5933532714844,-287.4314270019531,897.3865966796875
163.15419006347656,7.7372307777404785,224.94126892089844,159.99192810058594,-133.1273956298828,945.2612915039062,170.83302307128906,-180.35400390625,507.2213134765625,210.6167755126953,-225.52337646484372,872.9090576171875,-103.51651763916016,-27.51701545715332,128.459228515625,-151.5965576171875,-145.91055297851562,965.4204711914062,-139.44976806640625,-63.55699920654297,473.8556823730469,-215.57313537597656,-292.884521484375,901.3185424804688
162.0794677734375,-9.7235746383667,218.27523803710935,158.74691772460938,-132.54922485351562,946.0738525390624,170.15318298339844,-186.12648010253903,509.4754333496094,213.15203857421875,-215.04383850097656,868.6476440429688,-103.26866149902344,-18.72923469543457,128.5740203857422,-152.99400329589844,-143.88970947265625,964.8673706054688,-139.61778259277344,-57.145206451416016,473.672607421875,-214.50498962402344,-298.1411437988281,905.2081298828124
161.24362182617188,-27.664344787597656,211.7723693847656,157.58102416992188,-132.0494384765625,946.7396240234376,169.5148468017578,-191.49880981445312,511.4881286621094,215.6608428955078,-204.47157287597656,864.4920654296875,-103.04511260986328,-9.927776336669922,128.7007598876953,-154.2919464111328,-141.88372802734375,964.2781982421876,-139.7672882080078,-50.72114944458008,473.51947021484375,-213.39068603515625,-303.200439453125,909.052734375
160.64630126953125,-46.05586242675781,205.4789123535156,156.4937286376953,-131.6297149658203,947.2587280273438,168.9177703857422,-196.46788024902344,513.2529296875,218.13864135742188,-193.8165740966797,860.447265625,-102.84398651123048,-1.1114709377288818,128.84051513671875,-155.49049377441406,-139.89768981933594,963.6517944335938,-139.8970184326172,-44.28890228271485,473.3968200683594,-212.23284912109372,-308.0613098144531,912.8484497070312
160.28472900390625,-64.85745239257812,199.4517822265625,155.48439025878906,-131.29176330566406,947.6309814453124,168.36196899414062,-201.0303192138672,514.762451171875,220.5790100097656,-183.0927581787109,856.5194702148438,-102.66268157958984,7.721026420593262,128.99429321289062,-156.5907745361328,-137.9370574951172,962.9868774414062,-140.00552368164062,-37.85419464111328,473.3049926757813,-211.03509521484372,-312.7223205566406,916.58935546875
160.15206909179688,-84.01667022705078,193.7557678222656,154.5521697998047,-131.03724670410156,947.8556518554688,167.84793090820312,-205.18307495117188,516.0087890625,222.9735870361328,-172.3181610107422,852.7157592773438,-102.49793243408205,16.571048736572266,129.1628875732422,-157.59498596191406,-136.0075225830078,962.2818603515624,-140.09144592285156,-31.4245719909668,473.2438659667969,-209.80209350585935,-317.181884765625,920.2673950195312
160.2360076904297,-103.46945190429688,188.4600830078125,153.69601440429688,-130.86785888671875,947.9312133789062,167.3768310546875,-208.9240264892578,516.98486328125,225.31202697753903,-161.5150146484375,849.043701171875,-102.3458251953125,25.43961906433105,129.3466033935547,-158.50604248046875,-134.11509704589844,961.5348510742188,-140.1536407470703,-25.009431838989254,473.212646484375,-208.5395355224609,-321.43829345703125,923.8721923828124
160.5176544189453,-123.14029693603516,183.63414001464844,152.91461181640625,-130.78549194335938,947.8555297851562,166.95065307617188,-212.25289916992188,517.6848754882812,227.58221435546875,-150.70962524414062,845.5105590820312,-102.2019500732422,34.327083587646484,129.54507446289062,-159.3272705078125,-132.2661895751953,960.7431640625,-140.1913604736328,-18.619962692260746,473.2096252441406,-207.25401306152344,-325.4898986816406,927.390869140625
160.97117614746094,-142.9420928955078,179.34278869628906,152.2063446044922,-130.7924346923828,947.62548828125,166.57232666015625,-215.17221069335935,518.1051635742188,229.770751953125,-139.93209838867188,842.1232299804688,-102.06155395507812,43.23278427124024,129.7572479248047,-160.0619659423828,-130.46763610839844,959.9036254882812,-140.20440673828125,-12.268953323364258,473.23193359375,-205.9529266357422,-329.3352966308594,930.807861328125
