sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
157.67156982421875,221.97227478027344,198.08364868164065,157.07778930664062,-251.31930541992188,872.5977172851562,148.94244384765625,-49.94870376586914,458.6994934082031,215.44073486328125,-537.3821411132812,942.1627197265624,-72.24191284179688,-329.5866394042969,122.6291961669922,-142.7061004638672,-255.81504821777344,913.0139770507812,-128.08482360839844,-334.0975646972656,488.50335693359375,-240.147216796875,-122.75518798828124,791.46630859375
158.38754272460938,209.57403564453125,207.4140167236328,156.47727966308594,-251.00938415527344,874.5257568359375,150.05503845214844,-64.90478515625,456.1006164550781,216.52215576171875,-531.8896484375,931.7822265625,-71.15775299072266,-315.9295959472656,123.46871948242188,-143.9082794189453,-256.4398193359375,915.4921264648438,-127.73925018310548,-327.3871765136719,485.1144104003906,-239.19093322753903,-133.56788635253906,793.1292114257812
158.6795196533203,196.4087371826172,215.6394805908203,155.8932647705078,-250.6575927734375,876.7555541992188,150.9526824951172,-79.76505279541016,454.4949951171875,217.60255432128903,-525.3753662109375,921.8558349609376,-70.21489715576172,-302.0725402832031,124.18733215332033,-145.04901123046875,-256.9347839355469,918.0224609375,-127.50574493408205,-319.7773742675781,482.2010803222656,-238.04953002929688,-144.28831481933594,795.2832641601562
158.55270385742188,182.47727966308597,222.7534637451172,155.32452392578125,-250.26577758789065,879.2857666015625,151.64251708984375,-94.52733612060548,453.8751831054688,218.68142700195312,-517.8410034179688,912.3857421875,-69.41746520996094,-288.0238952636719,124.78704833984376,-146.12954711914062,-257.2984924316406,920.6046142578124,-127.39344024658205,-311.3134155273437,479.78948974609375,-236.72398376464844,-154.91561889648438,797.9276123046875
158.02044677734375,167.777587890625,228.73858642578125,154.7679443359375,-249.838623046875,882.1122436523438,152.14344787597656,-109.18329620361328,454.22369384765625,219.7576446533203,-509.291748046875,903.37744140625,-68.77421569824219,-273.8043518066406,125.2734603881836,-147.1534881591797,-257.52691650390625,923.2371826171876,-127.4174575805664,-302.0902709960937,477.9311218261719,-235.2172088623047,-165.4475555419922,801.06005859375
157.10743713378906,152.3029327392578,233.5631561279297,154.2181396484375,-249.3845977783203,885.2265625,152.48985290527344,-123.7112808227539,455.51214599609375,220.82928466796875,-499.7389526367188,894.840576171875,-68.29715728759766,-259.44879150390625,125.65705108642578,-148.12802124023438,-257.6123046875,925.9170532226562,-127.59085845947266,-292.2398681640625,476.68756103515625,-233.5353240966797,-175.88006591796875,804.67529296875
155.85166931152344,136.04934692382812,237.18353271484372,153.66757202148438,-248.91595458984372,888.6141967773438,152.73011779785156,-138.0698699951172,457.6999206542969,221.8939514160156,-489.202880859375,886.7885131835938,-67.99716186523438,-245.0033264160156,125.95367431640624,-149.0646209716797,-257.5426025390625,928.6377563476562,-127.91639709472656,-281.9044494628906,476.1004028320313,-231.68896484375,-186.2071685791016,808.763916015625
154.3046417236328,119.02912139892578,239.55352783203125,153.10723876953125,-248.44808959960935,892.2530517578125,152.9206085205078,-152.19488525390625,460.7279052734375,222.94924926757807,-477.7153015136719,879.2366333007812,-67.87725067138672,-230.51687622070312,126.1840591430664,-149.97900390625,-257.3021545410156,931.3885498046876,-128.3828582763672,-271.2113647460937,476.1590576171875,-229.6942443847656,-196.4212646484375,813.3108520507812
152.52972412109375,101.28001403808594,240.63650512695312,152.52767944335938,-247.9982147216797,896.1126708984375,153.1160125732422,-166.00030517578125,464.5090942382813,223.99365234375,-465.3213195800781,872.1996459960938,-67.92691802978516,-216.03065490722656,126.37181854248048,-150.89007568359375,-256.8733825683594,934.1525268554688,-128.96578979492188,-260.2522888183594,476.7834777832031,-227.57305908203125,-206.51368713378903,818.2943115234375
150.5986785888672,82.86117553710938,240.4150238037109,151.92022705078125,-247.58360290527344,900.1533813476562,153.3586883544922,-179.38304138183594,468.9221801757813,225.0274200439453,-452.080078125,865.6885986328125,-68.12005615234375,-201.56976318359372,126.5406723022461,-151.81808471679688,-256.23907470703125,936.9053955078124,-129.62991333007812,-249.06948852539065,477.8341979980469,-225.3528289794922,-216.4754638671875,823.6843872070312
148.5880126953125,63.83571243286133,238.8949737548828,151.27809143066406,-247.2197265625,904.3258056640624,153.67149353027344,-192.23179626464844,473.8141174316406,226.0535888671875,-438.0642700195313,859.7078857421875,-68.41669464111328,-187.1409149169922,126.71250915527344,-152.7822723388672,-255.3850555419922,939.6144409179688,-130.33026123046875,-237.65354919433597,479.1470031738281,-223.0652618408203,-226.2978057861328,829.4429321289062
146.57489013671875,44.24734115600586,236.1040802001953,150.59703063964844,-246.9187164306641,908.5712280273438,154.05592346191406,-204.43890380859372,479.0107727050781,227.0788726806641,-423.3583679199219,854.2531127929688,-68.76786041259766,-172.73670959472656,126.90630340576172,-153.79824829101562,-254.302490234375,942.23828125,-131.0110626220703,-225.95545959472656,480.5750732421875,-220.74459838867188,-235.9726409912109,835.5234375
144.63082885742188,24.102130889892575,232.0884704589844,149.8755340576172,-246.68865966796875,912.8219604492188,154.4941864013672,-215.9127960205078,484.3310546875,228.1140899658203,-408.05609130859375,849.3096923828125,-69.12216186523438,-158.3424072265625,127.1375732421875,-154.87562561035156,-252.98971557617188,944.7274169921876,-131.6042022705078,-213.9095001220703,482.0205383300781,-218.4254302978516,-245.4927673339844,841.8710327148438
142.81629943847656,3.361313819885254,226.9111175537109,149.11436462402344,-246.5336151123047,917.0029907226562,154.9541473388672,-226.5875244140625,489.6009216308594,229.1743011474609,-392.2571411132813,844.85302734375,-69.43303680419922,-143.94256591796875,127.41790008544922,-156.01641845703125,-251.4532012939453,947.0263061523438,-132.03274536132812,-201.46295166015625,483.4484252929688,-216.1403961181641,-254.8518524169922,848.4237060546875
141.1789093017578,-18.05337142944336,220.65335083007807,148.31649780273438,-246.45394897460935,921.0341186523438,155.39537048339844,-236.4252166748047,494.6653137207031,230.27813720703125,-376.0635986328125,840.8489379882812,-69.66572570800781,-129.52645874023438,127.75401306152344,-157.21434020996094,-249.70741271972656,949.0758056640624,-132.22470092773438,-188.60630798339844,484.8822326660156,-213.91799926757807,-264.04425048828125,855.1129150390625
139.7550506591797,-40.2433967590332,213.41830444335935,147.4867401123047,-246.4469757080078,924.83251953125,155.77549743652344,-245.41162109375,499.39691162109375,231.4465789794922,-359.57635498046875,837.2559814453125,-69.80237579345703,-115.0908432006836,128.14706420898438,-158.45501708984375,-247.7736968994141,950.8173828125,-132.1343231201172,-175.3951416015625,486.381591796875,-211.7810516357422,-273.064453125,861.8653564453125
138.57177734375,-63.31356430053711,205.334716796875,146.63121032714844,-246.50823974609372,928.3159790039062,156.05697631835938,-253.54920959472656,503.6999206542969,232.70103454589844,-342.8919982910156,834.0274047851562,-69.84445190429688,-100.63941955566406,128.5925750732422,-159.71734619140625,-245.6787109375,952.1964111328124,-131.76023864746094,-161.95286560058594,488.00689697265625,-209.7455291748047,-281.90655517578125,868.604248046875
137.64764404296875,-87.35284423828125,196.5616607666016,145.75656127929688,-246.6328887939453,931.4058837890624,156.21328735351562,-260.8505859375,507.5073547363281,234.06114196777344,-326.099853515625,831.1138305664062,-69.81172943115234,-86.18090057373047,129.0819091796875,-160.97549438476562,-243.45211791992188,953.1665649414062,-131.15066528320312,-148.45132446289062,489.7835693359375,-207.82025146484372,-290.5638732910156,875.251708984375
