sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
124.77965545654295,136.38494873046875,232.51026916503903,146.43511962890625,-264.8395080566406,868.740234375,146.7164306640625,-115.41690826416016,439.2572937011719,195.35159301757807,-382.23834228515625,820.7045288085938,-123.10848999023438,-360.04083251953125,116.62068939208984,-117.3805694580078,-330.0233459472656,902.000244140625,-141.98992919921875,-360.8995056152344,456.8440856933594,-325.5731506347656,-175.9910430908203,802.455078125
124.647216796875,128.73052978515625,240.61453247070312,145.75152587890625,-265.0941772460937,870.7855834960938,147.63482666015625,-127.12509155273438,439.46234130859375,194.64181518554688,-374.7778625488281,818.9923706054688,-123.61168670654295,-348.90728759765625,116.55921173095705,-118.23991394042967,-329.9912109375,903.8736572265624,-142.86927795410156,-352.7529296875,456.2269287109375,-325.7382507324219,-187.94387817382807,804.703369140625
124.36076354980467,120.03305053710938,247.6002349853516,145.06434631347656,-265.3096618652344,872.8728637695312,148.44284057617188,-138.8151397705078,439.9641418457031,194.05691528320312,-367.2549133300781,817.3980102539062,-124.07615661621094,-337.6937561035156,116.48882293701172,-119.12122344970705,-329.806640625,905.6891479492188,-143.82167053222656,-344.4564208984375,455.7604370117188,-325.6895446777344,-199.8169860839844,807.1304321289062
123.9237289428711,110.29216003417967,253.45639038085935,144.37261962890625,-265.4870910644531,875.0011596679688,149.1423797607422,-150.48944091796875,440.7592468261719,193.5970764160156,-359.6697998046875,815.921142578125,-124.50056457519533,-326.398193359375,116.40997314453124,-120.0251693725586,-329.4698181152344,907.4462890625,-144.8462371826172,-336.01220703125,455.4432678222656,-325.4269714355469,-211.6097412109375,809.7359619140625
123.34497833251952,99.51303100585938,258.1603698730469,143.67404174804688,-265.629150390625,877.16748046875,149.73870849609375,-162.1533966064453,441.8392028808594,193.2626037597656,-352.02349853515625,814.560791015625,-124.88339233398438,-315.01763916015625,116.32408142089844,-120.9534912109375,-328.9811706542969,909.1438598632812,-145.93943786621094,-327.4256591796875,455.271484375,-324.9504699707031,-223.32046508789065,812.5187377929688
122.64058685302734,87.71482849121094,261.6822509765625,142.96481323242188,-265.7398986816406,879.3656005859375,150.24163818359375,-173.81532287597656,443.1897583007813,193.0540313720703,-344.318115234375,813.3148803710938,-125.22557830810548,-303.55157470703125,116.2342300415039,-121.90929412841795,-328.3418273925781,910.7791748046876,-147.09234619140625,-318.70587158203125,455.23675537109375,-324.2595520019531,-234.9459686279297,815.4763793945312
121.8337860107422,74.93525695800781,263.9934997558594,142.24008178710938,-265.8245849609375,881.5848388671875,150.66566467285156,-185.4844970703125,444.7914123535156,192.9717712402344,-336.5572509765625,812.1796875,-125.53131866455078,-292.00390625,116.1454620361328,-122.89682006835938,-327.5537414550781,912.3466796875,-148.28858947753906,-309.86529541015625,455.3246765136719,-323.3534851074219,-246.4812774658203,818.6041259765625
120.95342254638672,61.227760314941406,265.0756530761719,141.49461364746094,-265.8887634277344,883.8093872070312,151.02774047851562,-197.16749572753903,446.621826171875,193.01597595214844,-328.7461242675781,811.1494140625,-125.8058090209961,-280.38287353515625,116.06398010253906,-123.92078399658205,-326.6200866699219,913.8375244140624,-149.50389099121094,-300.9183654785156,455.5140075683594,-322.2309265136719,-257.9194030761719,821.8945922851562
120.03179931640624,46.65330123901367,264.9270324707031,140.72415161132812,-265.9374389648437,886.0178833007812,151.3423309326172,-208.86233520507807,448.6582946777344,193.1862030029297,-320.89178466796875,810.2160034179688,-126.05239868164062,-268.7000732421875,115.9957275390625,-124.9853286743164,-325.5455017089844,915.23876953125,-150.70751953125,-291.88037109375,455.77734375,-320.8898620605469,-269.2514953613281,825.3369750976562
119.10252380371094,31.271080017089844,263.5665588378906,139.926513671875,-265.9744567871094,888.1844482421875,151.61524963378906,-220.5518798828125,450.8796691894531,193.4810028076172,-313.00299072265625,809.36865234375,-126.2713851928711,-256.9695129394531,115.94513702392578,-126.09273529052734,-324.33624267578125,916.5335083007812,-151.86520385742188,-282.76708984375,456.0829162597656,-319.3275451660156,-280.4668273925781,828.9165649414062
118.19844818115234,15.131513595581056,261.03546142578125,139.10275268554688,-266.002197265625,890.279296875,151.8399658203125,-232.19964599609372,453.2677612304688,193.89761352539065,-305.08990478515625,808.5938110351562,-126.46031951904295,-245.2067413330078,115.91439056396484,-127.24227905273438,-323.00030517578125,917.7015380859376,-152.94322204589844,-273.5957336425781,456.3974609375,-317.5406494140625,-291.5531005859375,832.6150512695312
117.34973907470705,-1.7268550395965576,257.3974914550781,138.25770568847656,-266.021728515625,892.2706909179688,151.99774169921875,-243.748779296875,455.8071594238281,194.43161010742188,-297.1640014648437,807.8755493164062,-126.61531829833984,-233.42767333984372,115.90342712402344,-128.42942810058594,-321.5473327636719,918.720458984375,-153.9123077392578,-264.3868103027344,456.68939208984375,-315.5254211425781,-302.49664306640625,836.4102172851562
116.58246612548828,-19.27695846557617,252.7377014160156,137.39987182617188,-266.0332336425781,894.1265869140625,152.06088256835938,-255.12423706054688,458.4825744628906,195.0767517089844,-289.2374572753906,807.195556640625,-126.73274230957033,-221.6470489501953,115.91085815429688,-129.6455078125,-319.9883728027344,919.5678100585938,-154.7507781982422,-255.16598510742188,456.9318542480469,-313.278076171875,-313.28271484375,840.2767333984375
115.9177703857422,-37.5004768371582,247.16018676757807,136.5408477783203,-266.0365905761719,895.8164672851562,151.9980926513672,-266.2381896972656,461.2732238769531,195.82485961914065,-281.3227233886719,806.5335693359375,-126.8108139038086,-209.87745666503903,115.93524169921876,-130.8780059814453,-318.335693359375,920.2227172851562,-155.44606018066406,-245.96530151367188,457.1051635742188,-310.7955322265625,-323.8957214355469,844.1868286132812
115.37105560302734,-56.38323974609375,240.78501892089844,135.6943359375,-266.0323486328125,897.312744140625,151.7805938720703,-276.9974670410156,464.1452941894531,196.66580200195312,-273.4324645996094,805.8682861328125,-126.85065460205078,-198.1288146972656,115.9760284423828,-132.11146545410156,-316.6024780273437,920.6677856445312,-155.9949493408203,-236.82305908203125,457.19818115234375,-308.0757751464844,-334.31951904296875,848.1110229492188
