sLANK,cLANK,pLANK,sLASI,cLASI,pLASI,sLKNE,cLKNE,pLKNE,sLWRA,cLWRA,pLWRA,sRANK,cRANK,pRANK,sRASI,cRASI,pRASI,sRKNE,cRKNE,pRKNE,sRWRA,cRWRA,pRWRA
195.9691467285156,-249.49256896972656,104.59919738769533,184.02735900878903,-471.3182678222656,934.904296875,224.60243225097656,-327.4563293457031,470.2007446289063,239.5137634277344,-615.3464965820312,832.9393920898438,-113.712646484375,-590.9154663085938,107.38123321533205,-83.25987243652344,-435.2391357421875,930.1417846679688,-118.32028198242188,-504.622802734375,469.5864868164063,-168.98699951171875,-455.2643737792969,839.2185668945312
196.1226348876953,-242.5849456787109,104.16456604003906,182.16490173339844,-472.8686218261719,932.5904541015624,223.6949157714844,-326.81591796875,468.9620361328125,239.2930450439453,-617.0326538085938,832.733642578125,-110.6163558959961,-589.666015625,104.87364196777344,-85.28022766113281,-436.2013244628906,927.5009155273438,-117.56616973876952,-505.2454223632813,466.44329833984375,-170.71495056152344,-454.0018005371094,835.8252563476562
196.27525329589844,-235.75192260742188,103.98477172851562,180.29071044921875,-474.3224792480469,930.3598022460938,222.5361175537109,-326.28692626953125,467.7621154785156,239.16542053222656,-618.1233520507812,832.4508666992188,-108.0156707763672,-587.7244873046875,102.74019622802734,-87.30052185058594,-437.16400146484375,925.1729736328124,-117.01112365722656,-506.267822265625,463.7068786621094,-172.4772491455078,-452.8853454589844,832.5462646484375
196.42532348632807,-228.99696350097656,104.06806182861328,178.40687561035156,-475.6785278320313,928.2150268554688,221.12112426757807,-325.8738098144531,466.6089782714844,239.1304473876953,-618.6171875,832.0913696289062,-105.91476440429688,-585.121337890625,100.97955322265624,-89.31879425048828,-438.1283874511719,923.1600341796876,-116.66898345947266,-507.6936645507813,461.39501953125,-174.27359008789062,-451.9146728515625,829.3846435546875
196.5678558349609,-222.3285675048828,104.43572998046876,176.51893615722656,-476.9323425292969,926.1634521484376,219.4414825439453,-325.5946044921875,465.5213012695313,239.1868438720703,-618.5105590820312,831.656005859375,-104.31848907470705,-581.9207153320312,99.58370208740234,-91.32976531982422,-439.0970153808594,921.4671630859376,-116.57234191894533,-509.5302734375,459.5487976074219,-176.1031494140625,-451.0888366699219,826.3486328125
196.69183349609372,-215.7650451660156,105.1260757446289,174.63726806640625,-478.0744323730469,924.219482421875,217.49327087402344,-325.5010070800781,464.5211486816406,239.3316345214844,-617.7977294921875,831.1461181640625,-103.22271728515624,-578.20654296875,98.529541015625,-93.3236846923828,-440.0740051269531,920.1023559570312,-116.77262878417967,-511.7825927734375,458.2283325195313,-177.96441650390625,-450.4062194824219,823.4534912109375
196.77761840820312,-209.3401336669922,106.19410705566406,172.77743530273438,-479.0894775390625,922.4049072265624,215.2843017578125,-325.69189453125,463.6232299804688,239.55926513671875,-616.4710693359375,830.563232421875,-102.60240173339844,-574.0532836914062,97.77274322509766,-95.28612518310548,-441.0650634765625,919.0750732421876,-117.3309097290039,-514.437255859375,457.49169921875,-179.8551788330078,-449.864501953125,820.7224731445312
196.7960205078125,-203.1083221435547,107.7062759399414,170.95936584472656,-479.9568786621094,920.7483520507812,212.8380889892578,-326.30889892578125,462.8308715820313,239.86053466796875,-614.5227661132812,829.9088134765625,-102.40491485595705,-569.5039672851562,97.24958038330078,-97.19905090332033,-442.0772399902344,918.3928833007812,-118.3019790649414,-517.439208984375,457.362060546875,-181.7723846435547,-449.4610290527344,818.1858520507812
196.7103271484375,-197.14788818359372,109.73162078857422,169.20526123046875,-480.6520385742188,919.2830200195312,210.2007293701172,-327.5231628417969,462.1327209472656,240.2218170166016,-611.9470825195312,829.1831665039062,-102.55191802978516,-564.5717163085938,96.88794708251952,-99.04279327392578,-443.1181945800781,918.0581665039062,-119.71610260009766,-520.6676635742188,457.7966003417969,-183.71218872070312,-449.1934814453125,815.8783569335938
196.48106384277344,-191.56028747558597,112.33226776123048,167.53684997558594,-481.1484680175781,918.04296875,207.44842529296875,-329.5145568847656,461.5013122558594,240.6246337890625,-608.7421875,828.3853149414062,-102.94733428955078,-559.256591796875,96.62137603759766,-100.79850769042967,-444.1944580078125,918.06396484375,-121.56199645996094,-523.9244384765625,458.6736145019531,-185.66981506347656,-449.0603332519531,813.8357543945312
196.0728302001953,-186.46478271484372,115.55558776855467,165.97238159179688,-481.4201354980469,917.0589599609376,204.6885223388672,-332.4411926269531,460.8995971679688,241.04591369628903,-604.91259765625,827.5128173828125,-103.48783111572266,-553.562255859375,96.39905548095705,-102.4505844116211,-445.3093566894531,918.3914184570312,-123.77433013916016,-526.9427490234375,459.8083801269531,-187.63937377929688,-449.0610656738281,812.0903930664062
195.4609375,-181.98936462402344,119.42789459228516,164.524169921875,-481.4439392089844,916.354248046875,202.05081176757807,-336.40936279296875,460.29681396484375,241.4588928222656,-600.4702758789062,826.562255859375,-104.07386016845705,-547.5050659179688,96.18944549560548,-103.98863220214844,-446.4607238769531,919.0086669921876,-126.23081970214844,-529.4197998046875,460.9905395507813,-189.61346435546875,-449.19635009765625,810.6676025390625
194.63607788085935,-178.25889587402344,123.9491958618164,163.1971435546875,-481.2023315429688,915.94091796875,199.6678009033203,-341.45184326171875,459.6863708496094,241.83477783203125,-595.4354248046875,825.530517578125,-104.61962127685548,-541.117431640625,95.97876739501952,-105.40857696533205,-447.6392211914063,919.8719482421876,-128.76416015625,-531.0645751953125,462.0275268554688,-191.58274841308597,-449.4674072265625,809.58251953125
193.6054534912109,-175.38134765625,129.08985900878906,161.9886474609375,-480.6852416992188,915.818115234375,197.6486053466797,-347.5190734863281,459.0953979492188,242.14508056640625,-589.8359375,824.4161987304688,-105.0604248046875,-534.4458618164062,95.76646423339844,-106.7127914428711,-448.8274536132813,920.9286499023438,-131.1883087158203,-531.6446533203125,462.7784423828125,-193.53550720214844,-449.8757019042969,808.8384399414062
192.3913116455078,-173.4349365234375,134.78994750976562,160.8893280029297,-479.8915710449219,915.9718627929688,196.05699157714844,-354.4816589355469,458.5841979980469,242.36422729492188,-583.706787109375,823.2212524414062,-105.35635375976562,-527.54443359375,95.5594253540039,-107.90921783447266,-450.0001831054688,922.1209716796876,-133.33126831054688,-531.0211181640625,463.1718444824219,-195.4571533203125,-450.4219665527344,808.4263305664062
191.02789306640625,-172.46148681640625,140.9615936279297,159.88479614257812,-478.8301696777344,916.376953125,194.9018096923828,-362.1428527832031,458.23822021484375,242.4721527099609,-577.0887451171875,821.9523315429688,-105.49199676513672,-520.4663696289062,95.36693572998048,-109.0099868774414,-451.1256408691406,923.390869140625,-135.0632781982422,-529.1638793945312,463.2068176269531,-197.3300628662109,-451.105712890625,808.3260498046875
189.55755615234372,-172.46405029296875,147.49339294433594,158.9578857421875,-477.519775390625,916.9999389648438,194.1412811279297,-370.26220703125,458.1555480957031,242.4565887451172,-570.0269775390625,820.6214599609375,-105.47252655029295,-513.259765625,95.19747161865234,-110.0297622680664,-452.1675415039063,924.6839599609376,-136.31382751464844,-526.1494140625,462.9400939941406,-199.13352966308597,-451.9246520996094,808.5083618164062
188.02651977539065,-173.40919494628906,154.2568817138672,158.09060668945312,-475.9884338378906,917.8033447265624,193.6993103027344,-378.5884094238281,458.4303588867188,242.3148651123047,-562.5697631835938,819.2457275390625,-105.31796264648438,-505.9668273925781,95.0567626953125,-110.98436737060548,-453.0877685546875,925.9534301757812,-137.076171875,-522.142333984375,462.46527099609375,-200.8440399169922,-452.87451171875,808.937744140625
186.47999572753903,-175.2345428466797,161.11473083496094,157.2659149169922,-474.271728515625,918.7499389648438,193.4839782714844,-386.8903503417969,459.1359558105469,242.0546112060547,-554.7664794921875,817.8469848632812,-105.05751037597656,-498.6223449707031,94.9468765258789,-111.88970184326172,-453.8489379882813,927.1629028320312,-137.40106201171875,-517.366455078125,461.8899536132813,-202.43606567382807,-453.9490356445313,809.5751342773438
184.9563751220703,-177.85829162597656,167.92864990234375,156.4686279296875,-472.4100036621094,919.8065185546876,193.4007568359375,-394.9783325195313,460.3118591308594,241.69363403320312,-546.6664428710938,816.4503173828125,-104.72445678710938,-491.2522277832031,94.86613464355467,-112.76115417480467,-454.4168701171875,928.2884521484376,-137.38270568847656,-512.0693359375,461.3153076171875,-203.88330078125,-455.1405029296875,810.3807373046875
183.48228454589844,-181.1895446777344,174.56591796875,155.6857452392578,-470.4448547363281,920.9474487304688,193.36143493652344,-402.71429443359375,461.9607849121094,241.25868225097656,-538.3173828125,815.0823974609375,-104.35172271728516,-483.8734436035156,94.80975341796876,-113.61319732666016,-454.7628479003906,929.3190307617188,-137.1414031982422,-506.4874877929688,460.820556640625,-205.1605682373047,-456.4403991699219,811.3168334960938
182.0717010498047,-185.13894653320312,180.9015350341797,154.90606689453125,-468.4159240722656,922.1557006835938,193.2928771972656,-410.0146789550781,464.0531311035156,240.7834930419922,-529.7639770507812,813.7698974609375,-103.9680633544922,-476.49420166015625,94.77110290527344,-114.45915985107422,-454.8655090332031,930.2556762695312,-136.8056640625,-500.8172912597656,460.4537353515625,-206.2462615966797,-457.8399963378906,812.3490600585938
180.72781372070312,-189.63194274902344,186.8173370361328,154.11984252929688,-466.3581848144531,923.4234619140624,193.1471710205078,-416.8476867675781,466.5349426269531,240.3061981201172,-521.0471801757812,812.5374145507812,-103.59524536132812,-469.1156005859375,94.7431411743164,-115.3109893798828,-454.7122802734375,931.1092529296876,-136.49560546875,-495.1966247558594,460.22857666015625,-207.12445068359372,-459.33099365234375,813.4478759765625
179.44528198242188,-194.61720275878903,192.20086669921875,153.31826782226562,-464.30023193359375,924.7498168945312,192.9098663330078,-423.2259216308594,469.3347778320313,239.8664093017578,-512.2039794921875,811.4063110351562,-103.24658966064452,-461.734130859375,94.71979522705078,-116.17886352539062,-454.2998962402344,931.8978271484376,-136.30770874023438,-489.69769287109375,460.12738037109375,-207.78636169433597,-460.9058532714844,814.5899047851562
178.21340942382812,-200.06979370117188,196.9466094970703,152.49354553222656,-462.2634582519531,926.1386108398438,192.6025848388672,-429.1944274902344,472.3687438964844,239.50241088867188,-503.2674255371094,810.3932495117188,-102.92678833007812,-454.3438415527344,94.69683074951172,-117.07056427001952,-453.634033203125,932.6424560546876,-136.30178833007812,-484.3285827636719,460.1096801757813,-208.23098754882807,-462.55810546875,815.7584228515625
177.02110290527344,-205.99072265625,200.9601593017578,151.6395721435547,-460.2618408203125,927.5947265625,192.27769470214844,-434.8147888183594,475.5460205078125,239.24855041503903,-494.2677307128906,809.5091552734375,-102.6331558227539,-446.9383850097656,94.67201232910156,-117.99054718017578,-452.7282409667969,933.3641967773438,-136.49342346191406,-479.0430603027344,460.1250305175781,-208.46484375,-464.2824096679688,816.94384765625
175.86178588867188,-212.4014587402344,204.16282653808597,150.75299072265625,-458.3016662597656,929.1209106445312,192.00636291503903,-440.1478271484375,478.7752685546875,239.1329040527344,-485.23284912109375,808.759033203125,-102.35791778564452,-439.5116882324219,94.64476776123048,-118.93911743164062,-451.6027221679688,934.0804443359376,-136.855224609375,-473.7580871582031,460.1266174316406,-208.5012664794922,-466.07470703125,818.1433715820312
