sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles
12.459166526794434,0.0439465641975402,-7.661424160003662,20.549850463867188,2.9522547721862797,-1.589494228363037,11.274654388427734,-5.499969005584717,-4.828604698181152,14.16785717010498,-4.009277820587158,3.1907458305358887,-19.083499908447266,7.577067852020264,2.1654984951019287,-11.11080837249756,-9.303858757019045,-4.997160911560059
13.07595443725586,-1.1411150693893433,-4.318808078765869,21.153661727905277,2.809023857116699,-5.8702592849731445,7.468817710876465,-7.149948596954346,-4.960298538208008,14.63232421875,-4.179235935211182,3.652742385864258,-19.62294578552246,7.867432594299316,2.223916292190552,-10.911940574645996,-9.400203704833984,-5.142014026641846
13.782232284545898,-2.140796422958374,-1.473574161529541,21.651599884033203,2.6469500064849854,-9.303887367248535,3.9682157039642334,-8.069436073303223,-5.132779598236084,15.105626106262209,-4.287543296813965,3.946892261505127,-20.195661544799805,8.087104797363281,2.389310598373413,-10.695279121398926,-9.499603271484377,-5.262221813201904
14.547423362731934,-2.9676513671875,0.8862647414207458,22.065505981445312,2.4975385665893555,-11.983208656311035,0.91570246219635,-8.503698348999023,-5.351267337799072,15.583892822265623,-4.333099842071533,4.070552349090576,-20.79990577697754,8.23926830291748,2.656101942062378,-10.457517623901367,-9.602577209472656,-5.351717948913574
15.322745323181152,-3.631929636001587,2.7802042961120605,22.411264419555664,2.3840343952178955,-13.9710111618042,-1.604739785194397,-8.653721809387207,-5.602628231048584,16.063640594482422,-4.315528869628906,4.022861480712891,-21.43249893188477,8.326594352722168,3.013980865478516,-10.192310333251951,-9.709989547729492,-5.400796413421631
16.037343978881836,-4.140989303588867,4.227472305297852,22.69661521911621,2.3256752490997314,-15.300354957580566,-3.5470547676086426,-8.677882194519043,-5.859080791473389,16.54153823852539,-4.235762596130371,3.806288003921509,-22.088605880737305,8.351354598999023,3.4478113651275635,-9.890196800231934,-9.82266330718994,-5.399002552032471
16.600811004638672,-4.504284381866455,5.256945610046387,22.92200469970703,2.33943510055542,-15.986689567565918,-4.894612312316895,-8.69411563873291,-6.093644618988037,17.013906478881836,-4.0986409187316895,3.433720827102661,-22.761045455932617,8.315688133239746,3.937032461166382,-9.538960456848145,-9.940472602844238,-5.343455791473389
16.908262252807617,-4.737640857696533,5.916353702545166,23.082298278808597,2.4395558834075928,-16.043773651123047,-5.660720348358154,-8.778132438659668,-6.292716503143311,17.4755859375,-3.9154438972473145,2.93548321723938,-23.439756393432617,8.221941947937012,4.456066131591797,-9.12407398223877,-10.061336517333984,-5.24727725982666
16.848787307739258,-4.862215042114258,6.267698287963867,23.16969108581543,2.635473728179932,-15.499773979187012,-5.890806198120117,-8.961061477661133,-6.456880569458008,17.918298721313477,-3.704298496246338,2.360652208328247,-24.11117553710937,8.073152542114258,4.976397037506104,-8.628728866577148,-10.18033504486084,-5.142752170562744
16.32349395751953,-4.89789342880249,6.368235111236572,23.177343368530277,2.9297776222229004,-14.412487983703612,-5.660843849182129,-9.232110977172852,-6.589015007019043,18.32896614074707,-3.488089084625244,1.7715100049972534,-24.75810813903809,7.873044013977051,5.469558238983154,-8.03388786315918,-10.288981437683104,-5.077875137329102
