,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,Type,Visible
2651,-0.22942704296242467,0.7006050201791154,-0.6079100510825501,0.3045276138964592,0.0475050857057604,0.45460481729105773,-0.46401810879012917,0.20914648404814917,0.2891377585715105,0.2671838841330878,0.5481190977981092,-0.5319190322428688,-0.6361353361462301,-0.09637312575724122,0.44962837188245874,-0.15775962353339767,0.13202837658556232,0.18664604932984075,,
2652,-0.18847931577117283,0.7192871254002375,-0.6294865567452599,0.28973960907466045,0.0750871039483667,0.4664005239312252,-0.44250922461990205,0.22126411185084183,0.2975525453424932,0.15317400340599008,0.5843777114061086,-0.5667562381437077,-0.6021225679738282,-0.11680761668870876,0.4530781256841079,-0.07679846332604168,0.15612244478751114,0.2126238737542836,,
2653,-0.15067438053468052,0.7323839624698174,-0.6443525968477885,0.271620610297304,0.10258347356054176,0.4772228256301716,-0.4272823306539154,0.23161623093318817,0.2987360401356165,0.020164274222416845,0.6158697843143277,-0.5966133913739153,-0.5632658021857424,-0.13683971737269407,0.45558693862671906,0.007086224916625472,0.18189550642119112,0.23915905049036823,,
2654,-0.1178259340310277,0.7401803615268829,-0.6530999291025106,0.2504586592365379,0.12985625989302774,0.48631758109710477,-0.4182041530089924,0.23934563043684487,0.29465147435252304,-0.12375759331470171,0.6391533802488398,-0.6184390411228073,-0.5201931008302418,-0.15539692908897196,0.45680261071483574,0.09247815637531565,0.20750192347494378,0.2659468940373262,,
2655,-0.09065567001551922,0.7432857738230145,-0.656562780635896,0.22679455603478438,0.15662073209316407,0.49303324741521104,-0.4147236573486126,0.24390348585356492,0.28723825595112396,-0.2666444219276819,0.6514847858000075,-0.6299101934249416,-0.4734629597582072,-0.17114107513573518,0.45605690855578107,0.17800982599298654,0.23075680951872934,0.2925874452703454,,
2656,-0.06897063829154537,0.7425457074850825,-0.6557386609463907,0.20134211389542944,0.182396556884453,0.49692603763879495,-0.41599980695660654,0.24516410997668547,0.27827452485595683,-0.3953500620070858,0.651977255497634,-0.6303670469962672,-0.4234805056225539,-0.1826626659188324,0.45236486901119655,0.2624746847822188,0.24929890454528714,0.3186698709191571,,
2657,-0.05194040773065445,0.7389443240178688,-0.6517182642840262,0.17488427960522568,0.20650725006200243,0.4978203361096609,-0.42104748819775784,0.2434506717373861,0.2692953320464111,-0.49889077060496134,0.6418556997701692,-0.6209581120397338,-0.37048002343795927,-0.18872324164627008,0.4445292732272035,0.3448560733397297,0.260828908984299,0.34378547387895586,,
2658,-0.038411155403449415,0.7335032302060576,-0.6456130814957552,0.14815967207039948,0.22813985663771996,0.4958369028613139,-0.4288864274354416,0.239457788310802,0.2615156731527881,-0.5707693190925827,0.62373458255034,-0.6040098179014041,-0.3145686625710634,-0.188475973676011,0.4313361247041716,0.42426978346200594,0.2634004421469305,0.36748554341162487,,
2659,-0.027196634906824668,0.7271684843360731,-0.6384583250013633,0.12175953118833549,0.2464582562102684,0.49138198368316965,-0.43866208167405196,0.23409164284855155,0.2557367344371644,-0.6095118508859342,0.6005851011922458,-0.5821698020153713,-0.25582420975973164,-0.18160637757221332,0.4118026363926852,0.499855096672873,0.25572164114195206,0.3892739800586409,,
2660,-0.017297347532417295,0.7207151093020283,-0.631117853442164,0.09605030077138577,0.2607473270589351,0.48509849073255884,-0.44972596067114545,0.22827533885964102,0.2522770314928391,-0.6177927947955941,0.5750083811474642,-0.5578005652242146,-0.19442238887633745,-0.1683846581071219,0.3854386224973998,0.5706802252116188,0.23742298900899383,0.40869463033344133,,
2661,-0.008027560265372657,0.7146818422745882,-0.6242081113999527,0.07114313633814273,0.27053680844545425,0.4777949620297768,-0.4616719517728627,0.22277222929535534,0.2509505960373273,-0.6009863091048115,0.5490431829070248,-0.5328128037676756,-0.13074841107196167,-0.14960601619405167,0.35245120316392886,0.6357296241510746,0.2092316705030488,0.42550289523558926,,
2662,0.0009665919386858679,0.7093597495050945,-0.6180751876965589,0.04690832286852076,0.2756834053351229,0.47034792268209125,-0.4743242944554169,0.21806406864843852,0.25114633749197135,-0.5657920463424784,0.5243862910090897,-0.5088614602085328,-0.06546724254701464,-0.12645387286387288,0.3138594190834818,0.693975746513608,0.17302083133535517,0.43980714891518113,,
2663,0.009769088861725228,0.704837137776632,-0.6128358632223818,0.023032498067707463,0.2763922441854527,0.46360687593016725,-0.4876899257188422,0.21430752825972466,0.2519932887177687,-0.5190545053279658,0.5026553104973406,-0.48757984982702074,0.00047041185354257387,-0.10031487654517379,0.2714758870630729,0.7444890334907359,0.13168477884965402,0.4520943211068975,,
2664,0.0182880758403956,0.7010556794148535,-0.608435601447036,-0.0008972142121095317,0.27314663586910926,0.45830826030045846,-0.5018865559190182,0.21137063621121444,0.25253575323634214,-0.4668006572367873,0.48539142381069755,-0.47056224948723036,0.06587916403781535,-0.07254895325616839,0.22775573593108445,0.7865172994340561,0.08883893360308748,0.4631124756908882,,
2665,0.026346282756059436,0.6978490018086727,-0.6046903597593121,-0.02530271240957671,0.2665920776452224,0.4550072330706416,-0.5170647467780318,0.2089260219804936,0.2518655317582972,-0.4136032990872748,0.4738475967847693,-0.4591302657292936,0.129443130181204,-0.044293754029879784,0.18550565800533936,0.8195093073115163,0.0483696089532244,0.4736389835775465,,
2666,0.033758863115030735,0.6949579344188117,-0.6013028049955462,-0.050531030098451724,0.2573912769938327,0.454029133278659,-0.5333329609747832,0.20656993141187252,0.2491963009420184,-0.36233939521074077,0.4687502495897409,-0.45406914328113723,0.1898580996421413,-0.0163339358640473,0.14750296296270515,0.8430940223058965,0.01391731411723618,0.48421928545903214,,
2667,0.04038546208197702,0.6920522493528389,-0.5978877638204658,-0.07679848957448543,0.24610580285338624,0.4554535792394969,-0.5507051743778942,0.2039336316885929,0.24391083257118984,-0.31432679384391715,0.47017031132217757,-0.4554799135637415,0.24597011978751637,0.010915763933222467,0.1161238056236622,0.8570356898544995,-0.011578761708547769,0.49496426862127985,,
