,pr_auc,roc_auc,positive_ratio,actor
0,0.33577609502584777,0.7192428035043805,0.06464924346629987,6
1,0.4495638090410091,0.6574898946920541,0.1584553928095872,7
2,0.1277621936851393,0.4856456255782872,0.1147011308562197,8
3,0.18712969180023403,0.6156002285224595,0.13814432989690723,9
4,0.528068862454862,0.7035154525386313,0.2010652463382157,10
5,0.2660693963692313,0.5978984154339604,0.19001919385796545,11
6,0.33287561259409193,0.667778326745718,0.10679611650485436,12
7,0.1504146327563269,0.6452294462154349,0.11081081081081082,13
8,0.33343722755736105,0.589258959606856,0.1487603305785124,14
9,0.10387767992542427,0.5105698529411765,0.10526315789473684,15
10,0.842758045149769,0.8159000869649242,0.3761904761904762,16
11,0.6497727297409741,0.7412056010928962,0.24110671936758893,17
12,0.4188873266422667,0.5615576432382278,0.1839863713798978,18
13,0.18962790934487386,0.5035118525021949,0.20238095238095238,19
