,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles,Type,Visible
0,-0.3815307819873772,0.43655316549593315,-0.2621584286207711,-0.6533319745420056,-0.4457565464944946,0.5369470105608374,-0.1785065819607945,0.2736434168315576,0.0853491926611305,-0.06659431387686365,0.08418304715097769,0.25774858885463137,0.08507518780067569,0.8934630779692609,-0.84166544129416,0.5109799975653078,0.7929497594457067,0.2924082741516931,-0.12704959122945003,0.26887871965391663,0.4759120440604523,-0.25743105476250827,0.22869632127988915,0.18221475678413812,,
1,-0.5178111195770034,0.4436358897825219,-0.27220242142194917,-0.6135812834972136,-0.4831613944883527,0.5470118881034212,-0.09758411122479749,0.30696429394351865,0.14330222698729123,-0.08784177184229292,0.10277907311671663,0.23903981303903565,0.10245824953574223,0.8470165405680179,-0.8030728438627316,0.4585879644903268,0.8152370626076189,0.29350703586133653,-0.14080784172827465,0.2676091152290023,0.4171601864019916,-0.24471131211687502,0.23384048427317805,0.19134926872460412,,
2,-0.6029278410972888,0.4488567829464183,-0.2795889945281681,-0.5690161816465202,-0.512449486292002,0.5524133668543325,-0.021033262378490236,0.3348640083571963,0.1899545284452988,-0.11115668119858368,0.11589812319146486,0.2203712442411998,0.11921165964641522,0.8014578838268569,-0.7642486705467382,0.408899331091767,0.8332597464193883,0.2914294475841539,-0.15619498479747418,0.2641822361005852,0.3652625136637262,-0.23075293437476796,0.2404243082247257,0.2012992816231689,,
3,-0.6470193872472352,0.4527247655786739,-0.28505162791543204,-0.5196471017133218,-0.5335765141347202,0.5529002193483696,0.051051828096289276,0.3564049952339523,0.2263238274941446,-0.13645614794804772,0.12335651771911604,0.20181128444154406,0.1358530957239017,0.7587182279102087,-0.7269687008197288,0.36193266494860965,0.8468352728293544,0.28628033152453924,-0.17296300663709108,0.25887186800922346,0.3221035104203118,-0.21524976115108418,0.24839409652904054,0.21219162197855335,,
4,-0.658848937401317,0.4554010857901112,-0.28882624661419043,-0.465627131600164,-0.5467101921891584,0.5483855378969942,0.11833249943569801,0.3710266871717045,0.2531076869698723,-0.1635562306403403,0.12492581154078475,0.18344543611559505,0.15319026280207004,0.7210272884647644,-0.6934178367564388,0.31785940504747945,0.8557369197586826,0.2781054399525229,-0.19050336042410443,0.2520919787990552,0.290048056827904,-0.19797932776599747,0.25763484543262893,0.2241140638664827,,
5,-0.6461868104379307,0.4569447846176964,-0.2910015452016943,-0.4073586027923699,-0.5523102954960738,0.5390371898896635,0.18015639536145667,0.3786787857538625,0.2708640437981824,-0.19213722676295897,0.12038121513319777,0.16539181780515233,0.17206474275719263,0.690651593723487,-0.6659293784641714,0.2768493974459725,0.8598040180176469,0.26706827331085226,-0.2080495009140204,0.2443307752345092,0.2714333047772366,-0.17883757528861777,0.2679499492539663,0.23709110892734642,,
6,-0.61637467013984,0.45751586089373153,-0.2918059044883564,-0.3455530785175718,-0.5511511700214822,0.525325013398857,0.2356124035309768,0.3798968268438392,0.2803697047744962,-0.22172154556956203,0.1095474503887659,0.14781292592224005,0.19292398523974263,0.6691482998686793,-0.6462331441878693,0.23888870401509488,0.859027514024922,0.2536275185074188,-0.22500955556107083,0.23606835327982534,0.26749269811603993,-0.15787235634067465,0.2790442880668076,0.2510594847258085,,
7,-0.5761282551511604,0.4575656282166576,-0.2918759839299023,-0.28123269141786267,-0.5442893067768607,0.5080102096413244,0.28370779749811637,0.37578525755335246,0.2829531583620437,-0.2516851419174734,0.0923800724744992,0.1309122980671351,0.21547379563918545,0.6564769860319348,-0.6345365059940886,0.20365440817347835,0.8535746440045751,0.23863430921057494,-0.24124325040045058,0.22774120344090254,0.2772110330684343,-0.13529909295467446,0.29052761016352546,0.2658509654397321,,
8,-0.5309593854271993,0.45789014026875985,-0.2923329818756931,-0.21567276357111498,-0.5329483980589607,0.4881011125419621,0.3235705426912523,0.3678960546743575,0.28060062537181363,-0.2812842379499959,0.06904364912697902,0.11491699544801515,0.23857374661171105,0.6505620791359523,-0.629054002882076,0.17047638459071157,0.8437448774741223,0.22336385530192326,-0.25719609725895887,0.21976588267724884,0.2967975277548145,-0.11150835527574043,0.3019329946674949,0.2811854250349315,,
9,-0.4847249902367107,0.45948592708262614,-0.29457925066807245,-0.15031524958790743,-0.5183767547586831,0.4667808597923768,0.35456370722186614,0.3580278733243256,0.27570302576126915,-0.30972002762037154,0.03998647671358713,0.1000551636946978,0.260433853521147,0.6477030628679921,-0.6263988700720833,0.13837645039610313,0.829936444496669,0.20945504552769756,-0.2738458560370335,0.21256176823475648,0.32023713331157166,-0.08705341386903254,0.3127609644924647,0.29667703308228366,,
