,pr_auc,roc_auc,positive_ratio,actor
0,0.5341210381031843,0.7850087203356815,0.08132677559963637,6
1,0.40784304649510095,0.6656613924283707,0.16658222447401402,7
2,0.1985076322156634,0.686628266888138,0.10849909584086799,9
3,0.5586454250811799,0.7134616401280804,0.20444256654795678,10
4,0.36204130638397664,0.625905537191157,0.20174667975815203,11
5,0.23261607293918143,0.6071712275966021,0.11244368091796052,12
6,0.15661164853808018,0.6664469067806585,0.113110400520297,13
7,0.3292798562164823,0.6045175702284198,0.13504377831506303,14
8,0.8371174391041872,0.8055927631070959,0.38184334876616866,16
9,0.6527389958841796,0.70274240697764,0.2566462979128641,17
10,0.16502102474947034,0.46366572539679884,0.1865124057199413,18
