,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles
1076,-0.09377626233851055,0.42621481255748206,-0.10004832163827737,0.5292151627858577,-0.31778171422006474,0.684350922232833,-0.8267891119391694,0.2178547099803141,-0.7894295850644715,-0.052369480133526713,0.5189541399670485,0.2196883088586321,0.1316910996028653,0.07204199314693982,-0.17937466443228123,-0.6857041514144748,-0.16797044082206258,0.5710714130590231,-0.5861004395558091,0.10781716247169215,0.09840058364551196,0.13018640621600874,0.6804857481608393,0.2594710574607588
1077,-0.16008992418024404,0.444367846760813,-0.1714263211474486,0.5267185628238453,-0.2882137568704114,0.709516663702086,-0.7928885493226268,0.24562133937815744,-0.7510406503654717,-0.04803431304699146,0.5086304967256428,0.2254999746829256,0.12150503444108463,0.07740983480676267,-0.1910657461581644,-0.6854419154732618,-0.21959469475436133,0.5713524767069262,-0.5331355288255603,0.12021667622922072,0.1180273754984773,0.13528433262841588,0.6695467207896038,0.26252503203988464
1078,-0.2196233415805421,0.4619730113216618,-0.24021541020560266,0.5256582757421628,-0.25416769434100583,0.7325867014504512,-0.7567566777868036,0.27794282428582995,-0.7099941827170881,-0.043899579765315,0.49922653444392995,0.2310842456308444,0.09933957086430834,0.08674231193663928,-0.21136664646211756,-0.6798898609046904,-0.27286014939301795,0.5777024348085098,-0.4740096883123217,0.1363985193192656,0.14081587911089732,0.13999306839743486,0.6599282634799328,0.26531737416013823
1079,-0.26752963521132955,0.47801883045603977,-0.30208151393408356,0.5256464549740225,-0.21633232013381576,0.752265680263225,-0.7192881715681905,0.3134060213558818,-0.668615812154242,-0.04002650370525407,0.4910390650801706,0.236301815230068,0.06184927301710075,0.09963983009531918,-0.23935905166838478,-0.668632407459099,-0.32719776802442124,0.5914141453267054,-0.40959910922496023,0.15786626682799487,0.16616542279760127,0.14422758966227267,0.6518358608796135,0.2678094069025909
1080,-0.30307629540448366,0.4918420458830832,-0.35444674507807816,0.5259068700782059,-0.17577812993511632,0.7679883824682412,-0.6816926924091251,0.35021738072803443,-0.6293138878145053,-0.03645595132799384,0.4843470713522633,0.2410279749919022,0.005559318202222885,0.11527152404147722,-0.2731635743469719,-0.6512693566077519,-0.3818267270774319,0.6129860196730628,-0.34107197685387414,0.1861045163524564,0.1934112015799918,0.14789662886197497,0.6454586490636318,0.26996404924059925
1081,-0.32803487907209905,0.5031393104295803,-0.39644403643040227,0.5253517417319771,-0.13382731891200406,0.7798407626640333,-0.6455624706469489,0.3863656396647108,-0.5941805528758339,-0.03321014408961642,0.479400932232777,0.24515845360473,-0.07291600585740077,0.13237940573782558,-0.30997264968564964,-0.6274060601839946,-0.43561752852404123,0.6417998745005984,-0.2697043127696629,0.22206964054571587,0.22196814937986642,0.15091643278350064,0.640947429522476,0.2717567056577572
1082,-0.34454580456028405,0.5119104739139273,-0.42848312094384555,0.5227526951127481,-0.09184327706084983,0.7883585986315251,-0.6126920500508727,0.4198482215861976,-0.5646967957810349,-0.030298370592664048,0.476403054493594,0.24861008427040576,-0.1761166013522012,0.14938774927198883,-0.34633521663328015,-0.5966820931057557,-0.4869866244812282,0.6760943834186897,-0.19663289332530398,0.2656679920295404,0.2514379889402434,0.15321251517931134,0.6384174878815849,0.2731690703307852
1083,-0.35356417842115906,0.5183377745609354,-0.45161802614117685,0.516957294878106,-0.05101832506710846,0.7942988203322621,-0.5847598033208681,0.44890981658642803,-0.5416951111598891,-0.02771666453605104,0.47549915048760316,0.25132539264196563,-0.30376906009565796,0.1646693346939938,-0.3787778581390804,-0.5588465441616299,-0.5338650803432021,0.7132352166744818,-0.12262332074704019,0.31543595445333916,0.28162549149204286,0.15473748965134093,0.6379184336032495,0.2742005800035823
1084,-0.3545990430228082,0.5226515766479563,-0.4669742405788144,0.5070858788656039,-0.012268123616343773,0.7984438440604966,-0.5630158350243845,0.4722263525449608,-0.5254868718496757,-0.025453635516660023,0.47675219976169525,0.25326959380985437,-0.44944968641503635,0.17695110102675105,-0.4046770364845229,-0.5138484396227255,-0.5737748607677144,0.7501437741964769,-0.047961350997093866,0.36854482680746803,0.3124679091885194,0.15547656848868052,0.6394485754558012,0.2748640956904522
1085,-0.3467628537467079,0.5250475668048538,-0.4754422367248996,0.4926526761905641,0.023733455161419226,0.8015011449964415,-0.5481032825685394,0.4889991308279573,-0.5160791350644266,-0.0234971812311785,0.4801574564029678,0.2544256706960162,-0.5978808016604079,0.18569669258778188,-0.4230165816973851,-0.46190469162150927,-0.6039874267432974,0.7836658150615123,0.027472864971316957,0.42107620754623576,0.3439228844138975,0.15544815417601665,0.6429384320048375,0.2751841190317852
1086,-0.33020040037943854,0.5256778789963648,-0.47766252794997166,0.4735903442950957,0.05644023562729994,0.8040690518650047,-0.5400612099813611,0.4989458726993503,-0.5133828943653536,-0.02183318232574205,0.4856292374433495,0.25479437405389427,-0.726621992890737,0.19118130677140388,-0.4344719364537867,-0.40351652523240633,-0.6217953749078463,0.810819705721399,0.10394975907383941,0.4684658429369699,0.3758506900375067,0.1546874743268909,0.6482783550638163,0.2751831802716169
1087,-0.30686689940873857,0.5246846136257852,-0.47416230071442855,0.45018414876185964,0.0852971173677799,0.8066396062058019,-0.5384658192342617,0.5022299463892903,-0.5173116668023219,-0.020460028549909803,0.4930184955641286,0.2543856305123551,-0.8125583333739507,0.19410576369554922,-0.4405651305223418,-0.33944778725855373,-0.624822140163338,0.8289655891573671,0.18152531230299762,0.5060438671175109,0.4078975409726202,0.15324020653721981,0.6553137378709939,0.27488024236534514
1088,-0.2801876541589765,0.5222272134959083,-0.46546983220927474,0.42296951665685034,0.10965760094535404,0.8095885725779273,-0.5425978164709108,0.49937690723743944,-0.5276974479103824,-0.019387771256432984,0.5021233370650879,0.25321495564256713,-0.8390442570715442,0.19511381738127365,-0.44266297692907686,-0.27067473318874335,-0.6113734276495482,0.8360448852291522,0.25964665877703297,0.5296928997421082,0.4393741549419643,0.1511495309228561,0.663868974204737,0.2742828153943151
