,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles,Type,Visible
411,-0.20721498053752918,-0.3087530959222491,0.6468425893944627,0.30912244497902575,0.01069281674727729,-0.545587795138881,-0.4897491811358441,0.1598753677550222,-0.030331291075391564,0.05127671333443651,-0.5433483327028764,0.840355616891185,0.6088368813109106,0.07366313552338788,-0.07407389490702221,-0.5837410630148037,0.12026315987457847,-0.19283906142324403,-0.3278751865622299,0.015891990138323653,0.43961662744284546,0.16725483782700823,0.3871864328074237,0.47777297549798425,,
412,-0.29636429519683694,-0.28377117278130337,0.626486211347234,0.30435016804744275,0.04179302870083568,-0.5247170302252021,-0.48255631711050617,0.1520359177334416,-0.04218261495100306,0.05076058569317232,-0.5477543997608861,0.8391807711689323,0.6212988712518883,0.08120386238628208,-0.08947436301667022,-0.5835938166377901,0.1119337773881195,-0.1802393758768006,-0.2890213986700956,-0.00886641237326613,0.43261878136780174,0.1935622193484161,0.4146517532404692,0.4806946787694131,,
413,-0.40262611089487566,-0.2510452568115439,0.5988140849679144,0.30336152198479294,0.0750273062664808,-0.50896534702413,-0.46456919281862674,0.1353812797551719,-0.042322796884269986,0.05055440583674087,-0.5495088803866768,0.8396836091420747,0.6225497657512156,0.09051673721939402,-0.10849678609732694,-0.5795119608933931,0.10212588768930364,-0.16460041218606325,-0.24321454432479384,-0.035035565726727946,0.42285475889464497,0.22277351295326797,0.4431521074549587,0.4849252953433365,,
414,-0.4987021371035043,-0.21062455036700523,0.563014633968987,0.30534790356438246,0.10983758879790151,-0.49899404880011444,-0.43707444287541475,0.11217940749877298,-0.029020702273205634,0.05052043802744399,-0.550159230789171,0.8423334351299392,0.6093486244085831,0.10145968898148627,-0.13084538796247835,-0.5710224207498518,0.08969726115138221,-0.14664099781163786,-0.19017377554545356,-0.06124014768948138,0.41172797240303627,0.25363767829871664,0.47128405503754545,0.49049796345369123,,
415,-0.5596428874910011,-0.16497048702635475,0.5203611772619026,0.3091586684692742,0.14568303833571017,-0.49402414332299194,-0.4021088321089362,0.08481789256095618,-0.002248671650542544,0.050605459250714135,-0.5513486271098114,0.847413032929631,0.5786476104064153,0.11359426831680586,-0.15561262465942238,-0.5576730781479281,0.07347896765391293,-0.1275395501989337,-0.12986792986533224,-0.0860734496099762,0.40100775973864633,0.2845004415500938,0.4977056036588565,0.49721713935744494,,
416,-0.5738814690480345,-0.11661658753812498,0.47255343671035654,0.31336404106212457,0.18215350525470209,-0.49187354867778355,-0.36220730729669837,0.055867067467955556,0.03596267220029947,0.05082445331065277,-0.55458322328848,0.8549746216140082,0.5281131841489715,0.12626655707388124,-0.18144736359261693,-0.5390715000878972,0.05244256100376421,-0.10888021857681873,-0.06261173962563105,-0.1084250316096641,0.3927172081396113,0.31342980470801285,0.521224575928201,0.5046513688813021,,
417,-0.5442667977971825,-0.06653831717708247,0.4201454307476957,0.31639512780175716,0.21901889545486042,-0.48941994201047434,-0.32008954017270386,0.028110696053493367,0.0816579008227043,0.051244881225724015,-0.5610257679862112,0.8648126615736109,0.4566768391451248,0.1387068325295313,-0.20676578043389382,-0.5149202319633204,0.02592781914336406,-0.09253822583120286,0.010901891081649184,-0.12785389865029417,0.3889268837796078,0.3383690710316192,0.5408270784599971,0.5121719643406315,,
418,-0.4831007177712733,-0.014997764296523441,0.36313625043174746,0.3167682879596432,0.2561348881267256,-0.4835557557123009,-0.27838986146910316,0.0043198231344219185,0.1296672724607706,0.051978545226527784,-0.5713050305285858,0.8764520092956622,0.3650114613859623,0.15014904992512434,-0.2300035603035523,-0.4850543309512654,-0.006163121881415767,-0.08052965308528937,0.08962762652550893,-0.14488689608025374,0.3914487447105579,0.35735482685124076,0.5556521333987388,0.5190489458286567,,
419,-0.406232237984715,0.036752613739179596,0.3028348452071479,0.31335530981293,0.2931773384473144,-0.472395707155542,-0.23950284806586497,-0.0133040274633206,0.174754273153789,0.053186707657201904,-0.5854048170911739,0.8891671032854056,0.2558546197167242,0.15998897720486016,-0.24994140333736814,-0.4494744317343916,-0.04324193668601051,-0.074815809303581,0.17222740953700932,-0.16110455994470496,0.4014792240220113,0.3687606868595963,0.5649231835363973,0.5245786187233086,,
420,-0.3279589873903249,0.08588814411209311,0.24288516424585072,0.3056144529308207,0.32939260115506785,-0.4561933888805956,-0.2054782741507184,-0.023813593854171033,0.2128556691519894,0.05509314247899311,-0.6026280877499575,0.902032514797976,0.1341435151035839,0.16791636545281508,-0.265968547008369,-0.4083609708593793,-0.08405539363600811,-0.07711571770764525,0.2571301717103356,-0.17895798991227818,0.41927106585209795,0.37153091803642857,0.5678798793017727,0.5282265468608422,,
421,-0.2579845113876329,0.12892638718528127,0.18838673671581008,0.29367838752543585,0.36359173207310436,-0.43735129369083714,-0.177843174186759,-0.02787905804565638,0.24193042861540337,0.05797938926895885,-0.6216327111629911,0.9139943528325969,0.006965030429441299,0.17398485239105677,-0.27821383110263487,-0.3620759414478115,-0.12683170049018766,-0.0887222797821926,0.3425649676349707,-0.2013285807742966,0.44403180758751537,0.36537686426480676,0.5637731460014592,0.5297477138373625,,
422,-0.2007916430621598,0.16311804700295163,0.14390001636095917,0.2782444941414213,0.3944411100432923,-0.41937869898201874,-0.15736972174798403,-0.02746537442881558,0.2620193443796839,0.06214648010949153,-0.64055485830586,0.9239733676055062,-0.11681277085893538,0.1785606710545271,-0.2874326099341318,-0.3111617171665405,-0.1695185872893712,-0.11032511987421156,0.42657692047702844,-0.23090806141149167,0.47412135100408936,0.3508590126497366,0.5519496044673227,0.5292546769970339,,
423,-0.15668076151979293,0.1872805507070736,0.11189603519424085,0.2603125231993768,0.42082007614439987,-0.4053851491421714,-0.14397924449589794,-0.024954454366585055,0.2745619384088276,0.06783805436727541,-0.6572070962348762,0.9309783977369956,-0.22760743972666042,0.18216621150282264,-0.2946873270110184,-0.25633701105988493,-0.2100584523438288,-0.14184705210888693,0.5070801595946941,-0.26951795374497833,0.5074802779409668,0.3293245565165499,0.5320517001373362,0.5272055513019289,,
