,pr_auc,roc_auc,positive_ratio,actor
0,0.5260918382969011,0.7767883429549953,0.08132677559963637,6
1,0.41406755025414793,0.6817227193222453,0.16658222447401402,7
2,0.18943420034673175,0.6456244480723746,0.10849909584086799,9
3,0.5463631494934603,0.7130140051194982,0.20444256654795678,10
4,0.32012551043295234,0.5621878455761478,0.20174667975815203,11
5,0.22561234802781788,0.6007868317648606,0.11244368091796052,12
6,0.1561542764897652,0.6679300993439032,0.113110400520297,13
7,0.29793031155370997,0.6054960733734118,0.13504377831506303,14
8,0.8293763673458527,0.7903743726353177,0.38184334876616866,16
9,0.6584118177878919,0.731174436446745,0.2566462979128641,17
10,0.16379629678117302,0.4672449063722568,0.1865124057199413,18
