,pr_auc,roc_auc,positive_ratio,actor
0,0.2808029238222764,0.7309605757196496,0.06464924346629987,6
1,0.40783133610745365,0.6672229018189555,0.1584553928095872,7
2,0.13619907165745845,0.4897064870977691,0.1147011308562197,8
3,0.17996318373947992,0.5891773191458973,0.13814432989690723,9
4,0.4841874976077323,0.6842935982339955,0.2010652463382157,10
5,0.27626450915817874,0.6168557614055244,0.19001919385796545,11
6,0.25475056039719535,0.6705368906455864,0.10679611650485436,12
7,0.14575016748567157,0.6303284157461636,0.11081081081081082,13
8,0.2878814792272799,0.5387525470454273,0.1487603305785124,14
9,0.10987797917214454,0.5226332720588235,0.10526315789473684,15
10,0.829776339204455,0.8053193545270075,0.3761904761904762,16
11,0.6279091256560352,0.6948428961748634,0.24110671936758893,17
12,0.3948644139206372,0.5582424804763009,0.1839863713798978,18
13,0.17850394697251357,0.46566188664520536,0.20238095238095238,19
