,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,Type,Visible
5920,-0.2267715235078145,0.6268200973422804,-0.5558605682706467,0.4102185794356066,0.11555638279224101,0.4592180023593566,-0.3672474651724832,0.28499247042759035,0.015448276266918581,0.16820784285550427,-0.3065056070069109,0.29551146701423003,-0.7256931910671822,0.06401738740293617,0.025846779314377066,-0.23088839563319108,0.08958352058185559,-0.11052815237964841,,
5921,-0.2201479167115018,0.6641858096005635,-0.6124910105619079,0.3953123669324041,0.17468941250004555,0.47459817460672427,-0.3347989617636533,0.28632169326848866,0.0765005636575462,0.046207436333395524,-0.29651451703123355,0.2824887198496553,-0.7089898866180493,0.00812954221203599,0.04784878484146882,-0.16517590483779931,0.09786516770889131,-0.1195771168233386,,
5922,-0.20046762865118373,0.7008905082565984,-0.6654227853623953,0.37753894652060604,0.23388973730592344,0.4892367898813188,-0.3056731024800432,0.28773600729500326,0.12929396722398834,-0.10003807842662016,-0.2782476900811608,0.2585353723184838,-0.687750318529804,-0.0510738025634514,0.07413508516037037,-0.09454881013171934,0.11314986808159966,-0.12689438890743598,,
5923,-0.1720031342880779,0.7344181937489724,-0.7113950080895852,0.3564756809635574,0.2917701464441631,0.5034221579094345,-0.2813847969422817,0.2892810790193474,0.17016016582485505,-0.26218040845463286,-0.25146916883058856,0.2231021799311832,-0.6619610464637734,-0.112215952652575,0.10401949142451228,-0.0200298791046315,0.13551265712825988,-0.13195416906295243,,
5924,-0.13905712346560284,0.7625309885436609,-0.7481916777254631,0.33198864633130376,0.3468285494997867,0.5170832381861228,-0.26306590913301175,0.29078059655248545,0.19742518829181677,-0.4265454249017375,-0.21717273093887457,0.17721449970057535,-0.6315642769636651,-0.17343925024615225,0.13631132664740164,0.057267569469475754,0.16418645926478748,-0.13429752002208895,,
5925,-0.10521548258964653,0.7834545184452617,-0.7745515824683233,0.30428904930308054,0.3975541084786438,0.5297255005478678,-0.2512999222499446,0.29183876740938164,0.2110669434064043,-0.5774559864287248,-0.17763204011825917,0.1236915038612898,-0.5964432035306074,-0.23252230034159416,0.16941387196641222,0.1362905271201975,0.19751155102118667,-0.13354850243910787,,
5926,-0.07308060142942463,0.7960356747961257,-0.7899846934138051,0.2739296003407248,0.4425407141398263,0.5405175857637159,-0.24607308155375762,0.29195605728362795,0.21228414174290355,-0.701813912365278,-0.1357417697618415,0.06639169741375706,-0.5564416195618056,-0.2870632101283307,0.20156895359977778,0.21611650767593282,0.2331113985909823,-0.12945804522056725,,
5927,-0.044275937776838026,0.7999817035897436,-0.7947613663218744,0.2417355592078545,0.48060687342030683,0.548487518527452,-0.2468253385832444,0.29069957031759297,0.20322140648906983,-0.7919079329742298,-0.09407744273504204,0.008938378901141464,-0.5114201188778043,-0.33472537459352125,0.23113988065109625,0.2959087110325034,0.26825499383552764,-0.12199019119215737,,
5928,-0.019455157426128245,0.7960582163397185,-0.7900121071097457,0.2086935570634596,0.5109000535226473,0.5527610682077451,-0.2525761116115204,0.2878522113995168,0.1868455155746085,-0.8452948600551546,-0.05438461619858381,-0.04608308702261543,-0.46132342186343356,-0.3734983248643031,0.25682974219177934,0.37478884428269676,0.30028822930558396,-0.11143716005649218,,
5929,0.0016398232239804855,0.7860451654153107,-0.7777549128324457,0.1758055383343482,0.5329638986552776,0.5527691871225962,-0.26210154686752507,0.2834864650191522,0.16678417640879428,-0.8630097139287624,-0.017761180941280652,-0.09697636568741841,-0.4062585285482374,-0.40192768598558526,0.27777598008652293,0.45171795850093877,0.3270103437272578,-0.09848584983376707,,
5930,0.019919441384912417,0.7723954598012905,-0.7607275900307221,0.1439374190624394,0.5467572638529741,0.5484003637415051,-0.27413978615594237,0.2779499753899326,0.1469418354256833,-0.8483700067050473,0.014876156662204654,-0.14234052286493049,-0.3465537067595369,-0.41927291325948624,0.29351420607440426,0.5254612141522863,0.346914722941142,-0.0841699970656884,,
5931,0.03652767993798345,0.7576669353630106,-0.7419388827282809,0.11368930472122374,0.5526381445056769,0.5400470593484556,-0.28758440778651817,0.2717709079777739,0.1308546594143598,-0.8068051116415897,0.04263376905299676,-0.18086856702206378,-0.2827944761402751,-0.4255823349581537,0.303883683345634,0.5946721526324761,0.35928625592412056,-0.06966415122819403,,
5932,0.05241693044913287,0.7439072682089258,-0.7239932011125452,0.08532044624832547,0.5513045233475453,0.528554523578723,-0.3016337211507263,0.2655329201745944,0.12088400288259393,-0.74555496202352,0.06491233678554065,-0.21172163579291836,-0.21582723890717181,-0.4216648758215248,0.3089572347166962,0.6580384354521371,0.36419038388813574,-0.05601612242368803,,
5933,0.06807365874067917,0.7322443936992724,-0.7084833390899672,0.058739702834843976,0.5437095730771055,0.5150716181833899,-0.3158550283868402,0.25975786607544893,0.11764515331284242,-0.6730852710074837,0.08175363383404277,-0.23498717848285788,-0.14673840688031825,-0.4089723605000918,0.3090394473569702,0.7144142954365589,0.36240627204215636,-0.04395152385215917,,
5934,0.08346537026597733,0.7228139329738643,-0.6957412423421621,0.033563683089862906,0.5309707043288607,0.5008506857782629,-0.330150237531627,0.2548279179061379,0.11997935358571277,-0.5979283520223991,0.09400211731157704,-0.25187016135097906,-0.07680740385447493,-0.3894345407261648,0.30474467469689914,0.7628898914315947,0.35536028517890506,-0.033825081415290836,,
5935,0.09820072322114592,0.7150109259262278,-0.685061862604301,0.00922398269081337,0.5142591809120187,0.48704664200093273,-0.344633997915163,0.2509565979006798,0.1255323010610927,-0.5268703635374,0.10316276520823031,-0.2644734927853103,-0.0074356682545096975,-0.3652418731196684,0.2971088329974467,0.8028083683611034,0.34505502477809835,-0.025636073392020897,,
5936,0.1117911338103541,0.7079082514550381,-0.6752337253903907,-0.01490950351251441,0.49469919497197123,0.4745649047056488,-0.35947979416867426,0.2481979030459618,0.13163526213551036,-0.4634390922092675,0.11095145757773128,-0.27517210085756993,0.05994749457029003,-0.3386216343231724,0.28764673041330635,0.8337352519982664,0.33395308301026194,-0.019120581855643803,,
