,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles
4721,0.22651573200874608,0.16523600810202588,-0.015257276082095705,0.3285029973259095,0.3807768215024272,0.08471584627561901,-0.666384725982138,-0.023083635676523495,-0.11813346440647055,0.5621611036773879,-0.19308629222941842,-0.024709014152466846,-0.9406556779619188,0.5121384297685325,0.25828190074579793,-0.7219239033994392,-0.17098937971294959,0.043557554367763096
4722,0.16635439587392598,0.18582024200292246,-0.03378427166463671,0.32456703974025825,0.40661078777677684,0.11593466236204164,-0.6396579854252238,-0.025501810678813852,-0.1101498841055758,0.5584373671133882,-0.19780499278404373,-0.02058726009917322,-0.9461398339306774,0.4887469403517546,0.2610790563538272,-0.6916321854186488,-0.16570628980137414,0.028704483372474776
4723,0.1109648682778257,0.21225370610295413,-0.05764951189805301,0.31981544915292104,0.43267897262047605,0.14311438008431598,-0.6110480207963708,-0.02534913968741037,-0.095600090092822,0.5419803282143272,-0.2081574177543778,-0.011548734647817582,-0.9479018623306605,0.4616809401901929,0.2622905721120623,-0.6570350801074714,-0.1578447315967133,0.009132117020265396
4724,0.06652102779540314,0.24263271269426734,-0.08515032312894255,0.3144122834974823,0.4578595488688213,0.16442877309535642,-0.5812979765481496,-0.02274534619837465,-0.07497922078177588,0.508452188464483,-0.22291817020201954,0.001327475315358928,-0.9451738220333393,0.43105190947362293,0.2621149073321227,-0.6176533011189725,-0.1469760479880381,-0.01319282902077501
4725,0.03589096592754881,0.2735081195469595,-0.11314465871493751,0.30813603769822073,0.4812152718257514,0.1793888665108847,-0.5511703335238061,-0.018055633942543947,-0.050986355796246,0.45327062589038336,-0.23973750842118313,0.01598135160886427,-0.9373420371307275,0.3969469729829018,0.2608515136134819,-0.5730456605793552,-0.1327766788127881,-0.03535505273822004
4726,0.01872187661664282,0.3010335755433635,-0.1381076301150721,0.3004178820640171,0.5020297802927243,0.18867245734736904,-0.5216824383702208,-0.011719381304230447,-0.027532720772858177,0.37261896120169546,-0.25524704022549405,0.029474693867246993,-0.9240311737206333,0.359555873380182,0.25885320025650005,-0.5228670513152383,-0.11512316553910695,-0.05393099295002246
4727,0.012658886037474337,0.3221885209935431,-0.15727889527168282,0.29055300329450184,0.5198356344120532,0.1935544490965042,-0.4940124148845997,-0.00415365222771924,-0.00812409103617906,0.26520336318724635,-0.26540707078156234,0.03830289334522541,-0.9051588972839288,0.31934346743621256,0.25649256809047594,-0.4669411342717822,-0.09418751261203007,-0.06566390914232934
4728,0.014730733214285197,0.33535474911562346,-0.1691981266701812,0.2779890939085701,0.5344449464408807,0.19517713336577835,-0.4692297238644648,0.0042328973723602115,0.00532496471072208,0.13447828379060645,-0.2662334890178689,0.03902056257480746,-0.8809469734087129,0.2771836010823747,0.2541365818743455,-0.40534717924166497,-0.07050089818525729,-0.06821823463316667
4729,0.02231074719745907,0.3402107854592282,-0.17359108055045536,0.26254955879430675,0.5459265002753635,0.19404086917007635,-0.4480502080583214,0.012956474176416322,0.012754215551952663,-0.009837939213447666,-0.2549629589567637,0.02922771082111053,-0.8518682531211016,0.234425210118002,0.252107988239719,-0.33850739585638634,-0.04495344955502356,-0.06080430347834498
4730,0.033542119087367706,0.33732776351243254,-0.17098321183806287,0.24448836536418228,0.5545250571698463,0.18994907728356214,-0.43073203716514663,0.021408533666585017,0.015488240414560428,-0.15273648100978798,-0.23119966421083193,0.008545288076184265,-0.8185336744823146,0.19284717981898059,0.2506188688150004,-0.2672462928345143,-0.018717467963528134,-0.0444520631839983
4731,0.04729373731152631,0.327821432471042,-0.16237971968223386,0.22437685074498148,0.5605564417742894,0.18236138214853237,-0.41713316169856873,0.02890937329285448,0.015470289962960848,-0.27799989857411034,-0.1971966526331519,-0.021118559930084824,-0.7815561169358245,0.1544907341376951,0.24970061368319496,-0.19279905262671948,0.006886412813944087,-0.02182244775203479
4732,0.06285151786064325,0.3131614695106886,-0.1491007766910869,0.20290021650811463,0.5642873555253243,0.17090420778294013,-0.4068745710091598,0.034850962004820074,0.014575351018341065,-0.3732960143606556,-0.15693213636209014,-0.05632233655851382,-0.741432873012519,0.12141867897919734,0.24916128091906864,-0.11674141586560483,0.030545121596746494,0.0033981205146325077
4733,0.07961836277918266,0.2950919335973039,-0.132720124206948,0.1806534413166474,0.5658631165134236,0.15579766061587486,-0.39953743129686603,0.0388498893712963,0.014200254746179697,-0.43316606867187546,-0.11464006960011341,-0.0933498204493114,-0.6984775506147596,0.09543690893901524,0.2485879685260941,-0.04083474775354834,0.051084065247186894,0.02742817122687846
4734,0.09698639945441001,0.27546967723284355,-0.11492377994396374,0.15800973010410235,0.5653111927070607,0.13800687665027978,-0.3948126385859555,0.04083341416880071,0.015090061171503466,-0.45899482627504995,-0.07378770740983431,-0.12912557656487444,-0.652832866227637,0.07783538003778401,0.2474051009787961,0.03316025090629404,0.06756235131410548,0.04733520994556373
4735,0.11431025719220456,0.25601313554101446,-0.09727898389354472,0.13509458898069782,0.5625807512683134,0.11909532061400596,-0.3925509778069268,0.04103861929969277,0.017331827979680803,-0.4570841425979545,-0.03679841666958217,-0.16149196628434181,-0.6045464086058586,0.06922931540388433,0.24497214649674492,0.10364353532912851,0.07932908147750561,0.061638522810200325
4736,0.13096718070689306,0.23806398806190687,-0.08101078232652836,0.11183630976394543,0.5576215292341247,0.1008581904795558,-0.39270836223750016,0.039931925767838106,0.020510671849556017,-0.43620127376183293,-0.005172097421833666,-0.18912271960345295,-0.5536889884226166,0.06948985890503567,0.2406767862926591,0.16928853602288996,0.08605405436180602,0.07043958895717295
4737,0.14647171341185827,0.22247489442733848,-0.06689521260157427,0.08804271542029052,0.5504377436784922,0.08493909878421357,-0.3952493913130314,0.038084255902426145,0.02396462543665434,-0.4053720263303989,0.020346758345683114,-0.21137549516977672,-0.5004683584684673,0.07780944662789491,0.23400398363546304,0.2290981826452323,0.08773095239340734,0.07511036146059014
