,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sLWristAngles,cLWristAngles,pLWristAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles,sRWristAngles,cRWristAngles,pRWristAngles,Type,Visible
4354,-0.21449858483832884,0.257522446357062,0.08343069315930118,0.3347260048929026,0.7860546719709098,0.5118971930758083,-0.4607806565908298,0.20918938799845543,-0.7218067614183907,-0.3492143944049797,0.22861599170866564,0.4649673835166406,0.4325258689038012,0.4996023389290225,-0.41876587074276317,-0.7162168562803924,-0.34777569765016847,0.7988956957918183,-0.38857157039157586,0.40042954480762694,-0.4228030656236216,-0.2348914614880906,-0.10428929548292976,0.8738409597583556,,
4355,-0.19667855982236082,0.2711345350550609,0.06045228962533411,0.3169642261466974,0.8079429386577577,0.5301477017699481,-0.45174281889309653,0.21578989118265968,-0.7182044172086359,-0.3509972467429464,0.2248976330837651,0.4654727240012628,0.3433073256169539,0.5469667584373095,-0.46571883127310265,-0.687845894271476,-0.3960519435839469,0.8079320356937776,-0.33639394193073635,0.45580768431476404,-0.37034812112294047,-0.24058464803385882,-0.10502011896790775,0.8756884397693354,,
4356,-0.17668217487621152,0.28269510013494314,0.040808631314875665,0.29714084275091834,0.8270525524923136,0.5477076085069144,-0.444963411995866,0.22231115223082143,-0.7161308794131274,-0.3525675799227467,0.22055807294034424,0.46568977516352494,0.23416722703292425,0.5940909636574234,-0.5117452280090746,-0.6564623799071514,-0.44620610630906465,0.8172938314580815,-0.28223595371100596,0.5141482473564736,-0.31601448514790853,-0.24719494650244345,-0.10693762334065282,0.8771065308793886,,
4357,-0.15637989911793648,0.2919395502166806,0.02502416877238267,0.2754101963259441,0.843142798331771,0.5634380060312241,-0.4404266239119544,0.22842198596847463,-0.7147237137061916,-0.3537655045506186,0.215663240987368,0.46562637820606123,0.1074825517518534,0.6379792290252491,-0.5539343566429982,-0.6223684719123924,-0.49690919022027047,0.826510525611653,-0.2264951522217915,0.5739305249463116,-0.26158346838109103,-0.25466930735019333,-0.11015533252694831,0.8780779599014223,,
4358,-0.13673769726755547,0.2987199206629205,0.013407860531913007,0.2520660150498082,0.8561532694404834,0.5759506658022022,-0.43794730233386125,0.23372710635798088,-0.7128625766675416,-0.3544144439532333,0.2104287555920954,0.46529621352495654,-0.02983121072560535,0.6753342333497143,-0.5892915021956506,-0.5857994757720346,-0.5467181054603233,0.8351092975489143,-0.16955995382125355,0.6334435609572604,-0.2088428254431005,-0.26289306557133907,-0.11471890978185773,0.87859315148172,,
4359,-0.11806566512862404,0.30294375681770846,0.006155974476903747,0.2274995932133388,0.8661655149115737,0.5838698200484882,-0.4372216702658235,0.23783352760232046,-0.7094871753526499,-0.35432765992948057,0.2052256958363099,0.4647246399031961,-0.166223630291917,0.7034127902736287,-0.6155170937512771,-0.5469266811356059,-0.5941651198537962,0.8426703361909442,-0.11184196454362805,0.6909307462892562,-0.1593603406853339,-0.27169373621045956,-0.12059403719609685,0.8786466608113062,,
4360,-0.10035443220641127,0.3045031996834344,0.0034757130651348334,0.20215412007052702,0.8733391566946163,0.5860861779039921,-0.4378988526559726,0.2404143247023589,-0.7039016256869929,-0.3533089900756706,0.20055071509182976,0.4639645437500324,-0.28772399410985694,0.7208429011934379,-0.6316401157723269,-0.505879712602749,-0.6378593610301087,0.8488809810783844,-0.05384479899930328,0.7447486795907909,-0.11434850549095699,-0.2808480084020487,-0.12766176480894487,0.878241304170686,,
4361,-0.08354259811896092,0.30325775079391004,0.005616426402952346,0.17647274009972613,0.8778527365846898,0.5819667817069836,-0.4396557025757857,0.2412637469680281,-0.6959565713590625,-0.35117204366578836,0.19697935149898038,0.4630961722668838,-0.381627131715656,0.7277764382987613,-0.6380196696361022,-0.4627891032404431,-0.6765957463087049,0.8535706268380878,0.003756427473087909,0.7935116029091722,-0.0746242823257317,-0.2900887175023622,-0.1357163965686563,0.8773896609461125,,
4362,-0.06761562209302807,0.2990976059421797,0.012759884746132544,0.1508577176228041,0.8798361290634362,0.571496770313322,-0.4422454297890921,0.24034258367069938,-0.6860455482858647,-0.347770160784693,0.19510766606469332,0.4622219615902856,-0.43953965891805347,0.7253254011669839,-0.6357667366148334,-0.4178260058058777,-0.7094230758318412,0.856717164406392,0.0600686337255818,0.8362052699276945,-0.04061797159677072,-0.2991245565603653,-0.14447387602282002,0.87611726541416,,
4363,-0.05258942446642634,0.29204813866779533,0.024838362813357717,0.12563320586306514,0.8793561234649847,0.5553481427752831,-0.4455183819369901,0.23779742442154794,-0.6749672192408225,-0.34302212548515576,0.19547271655441234,0.4614598634279383,-0.4583726718321439,0.7149410084386372,-0.6261944649251545,-0.3712361918253917,-0.7357160149118859,0.8584159064790089,0.11401163521636515,0.8722471296882077,-0.012348286500166283,-0.30766342994710816,-0.1535859503835899,0.8744611047254556,,
4364,-0.03845518508771528,0.28237056484044976,0.04136157719645883,0.10101491145125263,0.8764132896642025,0.5348615966820325,-0.4494119471280542,0.23394788399417954,-0.6637110056311862,-0.336937785719872,0.19847995785148353,0.46092165662589557,-0.43969360228482823,0.698277839913658,-0.6107441008398726,-0.3233654015665808,-0.7551814697928217,0.8588358916450458,0.16441407468455926,0.9014863265911184,0.01060996977225992,-0.3154211726282319,-0.1626665255545242,0.8724765657299216,,
4365,-0.02512914450103143,0.2706131045263678,0.061335635986838444,0.07709672889793628,0.8709929818770674,0.5119365521630219,-0.4539205896760107,0.22923760094823753,-0.6532626933297052,-0.3296297064696506,0.2043328228711183,0.46070193611805577,-0.388571344909155,0.6774083874396597,-0.5912393109563396,-0.2746618252119297,-0.7678605641363034,0.8581615652033281,0.2101484023534821,0.924132420464093,0.029108995139518035,-0.3221500301997918,-0.17131153810269806,0.870226920862893,,
