,pr_auc,roc_auc,positive_ratio,actor
0,0.5708414575587323,0.8088882169787537,0.08132677559963637,6
1,0.40302840068469437,0.6388833069770463,0.16658222447401402,7
2,0.20492825267981823,0.7082418054139101,0.10849909584086799,9
3,0.5839437102564403,0.7212997211759663,0.20444256654795678,10
4,0.411474559187342,0.6092786482626474,0.20174667975815203,11
5,0.2988760860456801,0.6341530699016187,0.11244368091796052,12
6,0.1505313536364612,0.6333579080237017,0.113110400520297,13
7,0.32201220200670577,0.6417989365400476,0.13504377831506303,14
8,0.845573498701228,0.8241702426453555,0.38184334876616866,16
9,0.7002598471808749,0.7534922234856656,0.2566462979128641,17
10,0.17621202895969912,0.49911061205520435,0.1865124057199413,18
