,pr_auc,roc_auc,positive_ratio,actor
0,0.23090781848002487,0.6751251564455569,0.06464924346629987,6
1,0.38872860457056235,0.6624095840867993,0.1584553928095872,7
2,0.11814717306109138,0.5134034131798088,0.1147011308562197,8
3,0.20404298253597553,0.6276155109619367,0.13814432989690723,9
4,0.4810973400305214,0.6964790286975717,0.2010652463382157,10
5,0.28130454085514023,0.6103212216956294,0.19001919385796545,11
6,0.231323412747991,0.5953008344312692,0.10679611650485436,12
7,0.16323738232506366,0.6610942249240122,0.11081081081081082,13
8,0.30951524294641874,0.5544618242838307,0.1487603305785124,14
9,0.10958720429689318,0.49230238970588236,0.10526315789473684,15
10,0.8407470052168582,0.8287394917383322,0.3761904761904762,16
11,0.6323191795079114,0.7040215163934427,0.24110671936758893,17
12,0.4201865926031537,0.6113237454573572,0.1839863713798978,18
13,0.19508789765167633,0.5137547556335967,0.20238095238095238,19
